model,cpu_freq,inference_time,power
EfficientNet.tflite,710400,116.635,1697.9437852063197 1619.9893226733432 1619.876817479283 1637.3441580885658 1673.1400561119692 1638.5330211525775 1645.4549829995035 1877.405057026753 1740.8710312589512 1618.6213862933378 4139.8550360819545 3181.8685282967494 1728.6059240005643 1692.9253887586412 1822.333768418644 1760.5941885396744 1804.8080673435436 1681.187728173767 1645.1461818238026 1637.6589136973678 1780.6848309935845 1637.8743061178561 1712.7818483626195 1722.2194662105987 1752.413797798643 1677.6850519785082 1897.8248798905636 1680.8311472192458 1763.5919591024199 1730.742814316304 1714.5648562850818 1736.1678048157196
EfficientNet.tflite,844800,105.923,1812.1317594742093 1795.286629900501 1833.8601836940245 1766.3957515140612 1836.2445001801018 1924.1081400978073 1798.661693471022 1806.6636337668672 1774.5436432607776 1810.551829509814 1989.9224121850943 1869.3330457675834 1876.4928025372617 1834.3141594265232 1850.0228639067861 1761.5401742404483 1761.1042574012354 2071.0010995736525 1711.6283679700118 1730.9643554217894 1872.849024099058 2102.2414797197152 1857.4013563840178 3032.4639311281753 1734.9092661915797 1784.3620899493692 1957.8990286596218 1865.5517188368065 1883.6016620454309
EfficientNet.tflite,960000,88.5171,2109.1664482273677 2076.516166989622 2106.991266324227 2167.341593614416 1974.5254511721932 2198.3677814972893 1883.5248222603566 1920.3430504703656 1604.0865250905695 1803.088745349035 1699.9983272077714 1771.7931985372604 1839.6929853309346 1954.3880104285813 2012.559849023305 1982.9948061131195 1763.595845997414 1928.7307175480782 1972.3639515681152 2066.76334030417 1905.6414064824544 2146.706398101761 1996.1081836644005 1940.4729124513128 1561.506379920316
EfficientNet.tflite,1075200,80.4329,2068.8249790630643 2071.3303419081926 2171.9559978665166 2140.4172146135784 2079.7788587522587 2053.0857440078858 2183.5220501171784 2078.4053840364354 2188.792530603129 2129.7246144787377 2436.8378934784882 2241.7010380279926 2185.0608046567677 2102.5744044807475 2025.5830445418903 2134.1760510510326 2055.3140964895438 2151.8451512088104 2162.6972706734414 2079.395996944264 2187.175258535372 2343.0860290224327
EfficientNet.tflite,1209600,74.4988,2289.4993827028793 2301.551648313906 2638.571076698988 2144.634240897878 2220.854370514519 2249.294505157852 2134.4294657939527 2157.2754822137967 2111.826149090337 2073.8650453830737 2140.776771700547 2347.4033875586774 2049.369447078213 2182.8156727978885 2332.550516137517 2237.5011703589194 2118.3555362917978 2231.7830054889055 2090.723793718401 2380.4567464752718 1761.9466749251167
EfficientNet.tflite,1324800,68.7601,2396.674681202138 2162.5027707878444 2473.9082468625734 2472.5786964692015 2233.6062368687126 2237.7534575773793 2288.400391680152 3423.9251551501984 2187.821271209841 2135.7637630459917 2265.954001675375 2285.592378228803 2392.4185105208317 2685.3020942208823 2317.5416335545 2584.415590663008 2363.97127498694 2324.5881045972906 2385.5105113076015
EfficientNet.tflite,1440000,62.3813,2503.1351530577454 2447.551224919914 2528.02293316961 2705.504931113991 2498.4407075172294 2459.639096035092 2506.2490093214597 2439.0616337189235 2320.7183864552835 2457.419564271179 2400.583877916386 2451.969007428084 2715.600096945505 2477.5341549145955 2392.9045548266736 2497.682937969347 2485.3746193314205 1379.2433096937518
EfficientNet.tflite,1555200,59.0915,2861.760440356304 3258.1447787535467 2612.0740904113836 2612.514625582311 2560.541236601364 2794.0179206028915 2624.0930126071876 2573.8735198470454 2604.362733321788 2658.224943769793 2611.6024425447845 2513.0554588408804 2584.411536422642 2605.9189046888077 2481.1904885439158 2521.677313018718 1303.9009807314892
EfficientNet.tflite,1670400,55.5845,2795.784320010948 2692.524628971132 2740.9253949791637 2765.260050746704 2701.986773009973 2863.3858319912274 2771.153532087678 2777.830785957525 3465.5959862783675 3921.5505071112484 2779.0666244996946 2828.476007641828 2774.9737387045607 2764.6376950673475 2803.7619733945885 1482.313778197833
EfficientNet.tflite,1766400,52.5956,2818.5000204532594 2732.399191941756 2843.401940312362 2886.1942591937545 3087.3212355069063 2897.690600603644 2865.9182075037015 2939.5438491827804 2943.874292848905 2908.191253251907 2908.967470558096 2883.2803583703876 2857.604017129513 2820.9574820694024 1511.1377792156427
EfficientNet.tflite,1881600,49.2618,3696.154210426583 3151.9243028499636 3477.087964020682 3316.9683704391778 3088.2007398398523 3211.4835859286286 3023.3173641759845 3114.043406127717 3115.539619341293 3168.9722355845015 3001.1945718398865 3130.052078206601 3077.501348375669 2763.5208621459037
EfficientNet.tflite,1996800,45.5146,3404.243909332781 3485.3149216357924 3382.739577086993 3412.4384312251245 3329.2637282911915 3321.0123275835576 3333.5597229511795 3451.552614725834 3384.381017049046 3504.5044435455234 3407.1949671122684 3446.309531407669 2579.700836077122
EfficientNet.tflite,2112000,43.1197,3698.3843119739695 3728.9127362656172 3913.3801817036415 3729.2727901851563 3646.2311252575983 3698.171099626719 3580.443071518124 3690.8391200328037 3664.6429108585085 3634.1778109893794 3663.8692920323942 3574.951082356573 1204.7386587455403
EfficientNet.tflite,2227200,42.0049,4047.8996258908196 4057.3605021524927 3961.7693828622896 4218.613821632089 3976.885346445627 3928.402511371413 3995.069688212062 4012.420154028104 4055.3496559056784 4014.663028794232 4120.928797681578 3297.685399836336
EfficientNet.tflite,2342400,40.1203,4424.6904287114985 4418.77357821477 4496.349578341966 4496.170785225804 5122.955186720712 4549.352034017854 4514.427353196079 4490.371227276013 4452.065756311484 4445.738060656604 4486.557108198553 1196.6492890569073
EfficientNet.tflite,2419200,37.7459,4616.4355451419315 4657.319462593106 4603.976225349287 4534.215660981111 4591.259110717067 4631.682819443996 4872.86026511895 4638.979002801096 4675.636130040999 4688.380900337524 2808.4442615404446
Squeezenet.tflite,710400,139.063,1690.4768028768617 1755.1017006652041 1671.210308779238 1714.7978302929798 2013.311774057005 1695.6341479667842 1654.714421164282 1799.8136948365996 1693.584809484083 1690.130962312072 1733.5444757795565 1764.006922201846 1920.5954874911524 1836.6725821195869 2544.4201604084074 2638.8262293028365 2075.518382836614 1733.0271799370785 1741.8415909963546 1685.7494710037358 1655.486747897472 1684.4716530143037 1694.7391798025546 1720.9476264498146 1667.0409728786803 1708.6658054492277 2181.321177011595 1689.1662431310697 1774.736109265059 1622.009467168509 1700.9743132630274 1748.799409526497 1651.8556525401711 1649.496047278995 1654.331050320669 1699.0167481785784 1674.6139866147882 2000.3005893954964
Squeezenet.tflite,844800,121.056,1788.5994036835534 1773.3471030476326 1846.0168821312327 1810.5479526557544 1765.936164914192 1788.6926726773715 1782.5763510027684 1804.8024419140904 2216.4906480471045 1884.8726078987102 1800.4644066348908 1782.6433793306264 1791.9408948171658 1845.7809874761945 2029.6583465756355 1801.5659811330524 1795.0641955134208 1807.005686051175 1882.296919457694 2064.6575502828523 2038.4931162257442 1746.3797745016611 1915.7100294382794 1886.7771948352818 1741.8918061587779 1751.149389291068 1775.2811466168976 1815.6704629587532 2003.3290089679965 1901.182762327014 1974.4624895244426 1825.8146615581632 1827.3165643691887
Squeezenet.tflite,960000,93.4442,2089.5635339503337 2124.9366611199275 2013.0973976168407 2067.740523844767 2069.833092837948 2097.8666024571176 2316.0461440946833 2223.607537361416 2110.754259784304 2144.170329720038 2161.703856970503 2097.6174694704496 2118.5360374292404 2224.7603373103775 2247.456195385133 2053.9013646693766 2090.43217551933 2498.8691323578764 2186.737741848624 2162.2576615430858 2142.084882084754 2274.147828616093 2177.188708089375 2205.4405308256014 2060.410295976695 1949.6565740557792
Squeezenet.tflite,1075200,84.9222,2683.0661616271154 5004.628318951893 3474.2841514343736 3785.1279424866098 3108.486825048342 2169.9067161690614 2316.109965853069 2322.025747990863 2282.7267966281966 2272.709983445635 2415.089245921359 2137.0256251810715 2284.843280074575 2341.5587534675087 2107.311201313673 2356.9832771950873 2363.967604869818 2151.0574813168296 2155.446855124354 2183.48590367399 2272.9411514079734 2247.6658219185797 2300.8940719038046 1167.1018420090547
Squeezenet.tflite,1209600,81.8694,2292.264379777676 2466.832512702028 2354.5822797313913 2359.5498015278204 2212.2878350238507 2573.682667126651 2346.870492260453 2298.0983926241315 2295.1480251928997 2554.4279713370333 2331.5524783672554 2269.140822010912 2496.5302562707475 2159.839582827748 2269.1320039612247 2124.970813604124 2319.6218413356473 2250.458477636715 2391.947377041454 2722.5400018981272 2491.3330421252717 2379.169664153999 1889.819064439217
