model,gpu_freq,inference_time,power
densenet.tflite,491000000,115.383,2111.995052675181 2099.3097091811296 2151.5237130736477 2217.531514121389 2162.7326615862526 2192.3295200927537 2171.266778667063 2141.395395326824 2113.544427066273 2457.882579857865 2195.020941793258 2206.3530605082688 2103.8716513123823 2126.762619637634 2148.6420054421264 2323.021301835801 2167.6368289694014 2050.925354915804 2221.37931037379 2191.8557737836622 2175.6150485819635 2335.7221028576105 2115.299416542065 2163.2287922257146 2289.121604977298 2281.571057122348 2208.4473675310005 2287.501158430034 2062.749460940933 2135.5062174902573 2280.2799756967524 1907.9803090362668 1279.5213489680186
densenet.tflite,540000000,109.876,2382.541186538985 2137.081016116654 2474.129080701177 2390.3357000509263 2167.855215568197 2295.9670587516566 2476.050196604296 2164.42428657101 2226.198978671405 2309.505526072181 2346.114909271039 2211.1274511213423 2339.205078551684 2249.5897929298335 2330.330251392879 2376.2018616027044 2163.3832625694617 2233.2757218211923 2443.4710575539816 2395.8339530895187 2232.611663542314 2381.3529465214815 2281.653191623927 2235.5321736315823 2291.94948497198 2204.751327148719 2221.725772162121 2155.090064946263 2365.1796133175258 2257.0077519521637
densenet.tflite,608000000,102.08,2564.982284626262 2451.275417504879 2401.180707891605 2423.4459662261643 2581.7584495483807 2446.3285729617583 2407.0129375504957 2456.733474027925 2424.972182045275 2409.174309712144 2541.994931026112 2441.1840925734614 2426.4260073099986 2629.5543188046895 2460.1843860550885 2565.9780003900737 2406.633569759564 3610.0746376669763 3616.2696410210747 2765.5485373445513 2621.356007075126 2468.3171891915936 2500.63559203081 2436.3224466309443 2447.5784990673314 2461.196460282035 2382.64492718336 3054.941082880736
densenet.tflite,676000000,82.5115,3303.470195300593 3395.792180884744 3627.9993761602564 3341.3333082998633 3235.0888690586 3362.349187373834 3300.0178093297595 3400.9186334890237 3599.2604741324553 3183.555662731297 3355.8821515013865 3252.4279295164506 3348.4956563593437 3157.548612496672 3323.4023307279504 3212.496975590991 3267.418124996089 3294.2525449221666 3252.744113933011 3358.5099320487934 3178.9131782470167 3442.3155093681276 2657.775656803338
densenet.tflite,738000000,76.8791,3623.930228824876 3532.8215974255654 3891.2491603312224 3689.3944545161658 3930.358573286639 3504.1747364613643 3734.335871957824 3827.2417002231064 3614.138083877769 3713.228872163232 3868.1162379074294 4041.5329947415194 3931.9304068200554 3519.995234205705 3598.15916275247 4013.145629386554 3709.303154762794 3647.81461015668 3483.6977060607705 3768.5503625192428 3783.727057616282 1275.0633018231774
densenet.tflite,778000000,74.8286,4136.326632976436 3938.275221140964 4356.934425390782 3956.776228044123 3908.241162628223 3929.755347065776 3880.3211471644117 4107.899692497128 3994.3503466998545 4084.9091965870102 4080.119553619214 4070.8237241295083 4002.689145570326 3969.3451181975506 4016.22711187669 3983.204458455324 3901.851877251185 3858.543129151647 3827.7800960133745 3895.0384173858342 2381.516168671141
densenet.tflite,840000000,71.686,4763.090605429838 4742.67795069416 4601.07719679884 4660.849689106678 4598.64394004459 4113.290989538419 4552.254866221215 4451.617924876779 4379.485134092577 4448.49675973378 4590.621469036991 4371.1293329075315 4194.000142022966 4628.0014575429 4414.593189911397 4363.098945702796 4556.187910623789 4469.583608166493 4486.25635085801 3336.9142224270236
inception_v1.tflite,315000000,46.6473,1825.0631076348943 1840.3982104415504 2101.7625263040272 2360.8662919758885 2296.0132341479894 2122.5394633761634 1943.2264695664787 2037.3984533196094 1834.258258119814 2071.2161188232435 1790.994762856605 1789.8646684135756 1994.886781804552
inception_v1.tflite,379000000,34.9347,2648.4721330577418 2435.737704891026 2281.5331555119446 2357.3623823999646 2372.839792279684 2284.227088249417 2267.2771785728614 2473.669751194193 2250.7675741369753 2201.441933348073
inception_v1.tflite,443000000,30.4559,2473.8034588028104 2503.0325512990953 2429.610596982565 2405.774319641018 2437.870759506773 2390.419184804826 2458.5786236315626 2480.8444412714416 1864.0548387305805
inception_v1.tflite,491000000,27.9187,2668.343369762258 2666.8249685815836 2518.22200641829 2578.435754915489 2732.1817266516873 3375.523876738334 2522.943362793043 2607.0016029388257
inception_v1.tflite,540000000,26.4526,2997.949654062383 2809.9365863977914 2643.9188969711568 2651.810804316051 2771.6408345534414 2647.5316838308227 2629.302325395467 1594.6654972813174
inception_v1.tflite,608000000,24.1343,3095.3745402076656 2995.9085478301477 2945.0524394821036 3169.239552065418 3127.665572695705 3029.512106474579 3007.6367506086613
inception_v1.tflite,676000000,20.6688,4055.141033218739 4008.8233093093922 4004.930811828418 4131.549752628398 3920.959893104438 4098.328675462851
inception_v1.tflite,738000000,19.1724,4631.767504090857 4621.537336243325 4806.113026914386 4726.099866096421 4933.0787859922875 2406.8332146733796
inception_v1.tflite,778000000,18.4415,5035.964808034038 4902.577129850365 4997.9032535445 4904.908231039914 4941.227320472643
inception_v1.tflite,840000000,17.586,5974.540235699146 5638.468325264676 5739.49927941441 5618.5844398048175 5598.18235562074
inception_v2.tflite,315000000,66.222,2184.8825116737057 2199.262602158468 2184.8061607382574 2203.3527250782486 2192.8088073445683 2125.4260197076887 2372.490224755892 2174.0227291093365 2225.284066666743 2183.3322968366747 2232.8181957892575 2185.911917257177 2227.6112933443096 2258.201330111281 2214.904695444351 2652.4284876181296 2675.5116624425364 2808.5548417745613 1398.7644253952183
inception_v2.tflite,379000000,51.4706,2625.7484749955265 2605.4876887715045 2597.0003346657063 2624.2199775884 2619.441868874476 2580.986437607331 2570.1300681346024 2574.2659349925398 2478.270795812404 2606.442315583039 2516.9773428519275 2538.7877619197625 2466.513118960008 2517.299388300371 1306.255534908746
inception_v2.tflite,443000000,45.7563,2668.36373535021 2773.0595552340847 2648.9282270544413 2669.6615396538277 2731.9454949166916 2636.6314456953237 2650.769905412043 2726.372745405611 2683.4330727237148 2674.0646638214794 3051.398886869168 2646.5551511152303 2524.6455901278036
inception_v2.tflite,491000000,42.4615,2807.439805785945 2745.0932740678945 2809.8013239586735 2820.850919101886 2850.8361521153925 2838.142101925914 2828.3476510472688 2846.247246247698 3648.386600066789 2859.302284855647 3935.6847339967703 2907.752032562877
inception_v2.tflite,540000000,40.132,2927.36917222584 2891.5821586060465 2900.7861822380873 2929.4882755670915 2961.3459202469803 2929.29340978668 2932.1136441098884 2965.193862671733 2990.648334890199 2890.7175717804225 2903.2980347421017
inception_v2.tflite,608000000,37.6726,3182.9012306042973 3182.487279828753 3250.797640152829 3209.938414563581 3189.050411277208 3173.1552069403892 3170.750350710669 3204.802974703457 3054.354080545584 3128.188201521313 1313.500305394929
inception_v2.tflite,676000000,32.0927,4095.9926729107265 4092.6753262082757 4050.0460698079414 4071.7905425507943 4033.853324291512 4048.04515369533 4098.002720791075 4070.653841735265 4107.687068012265
inception_v2.tflite,738000000,30.2419,4593.107762796278 4454.097987684008 4497.158082983234 4498.162207015129 4412.837285374274 4458.310082697019 4537.19482435674 4424.275744766052 2545.3152198586163
inception_v2.tflite,778000000,29.1809,4874.271801288036 4773.085634276154 4781.163223319736 4707.845992903848 5566.840219898378 4912.203513922673 4753.743976558913 4785.678291832035
inception_v2.tflite,840000000,27.9883,5340.045842758991 5296.78126127024 5250.919791518147 5164.167698691518 5279.003247434308 5401.56089840307 5441.947759486693 4171.726182715205
inception_v3.tflite,315000000,143.167,1996.243396294433 1972.733199922433 2011.591647667217 1969.124167652899 1944.7518835690294 2005.5903210776598 1921.8169647813577 2003.4968636487015 2079.056840113629 2168.365078329148 2225.76521467409 2087.992512664021 1988.171903272709 2002.7822717862248 1978.3258497556567 2001.1080579485615 2100.981833443201 1923.4790351491888 2599.628574563621 2258.821006056054 1913.3037470033319 1947.8489648782315 2093.2481707019224 2015.6140384810658 1954.6098271728263 2092.9869740345976 2009.5476017738342 1953.166548643013 2067.6404477470383 1929.5418884521039 2140.7356056293233 2067.5548659970486 1961.7824967461368 1997.8863187876545 2094.0999267139364 2128.9306773426238 1941.3242353914707 2782.686247368153 2517.65458178177
inception_v3.tflite,379000000,104.488,2459.307101271734 2433.3690164770287 2427.9717194845402 2518.397035831155 2586.6605284398543 2501.683116586457 2544.262533373324 2471.8820361323633 2427.25592444445 2581.5128721997207 2613.1067464651774 3037.9542440511655 2646.4350224420973 2599.4260403643148 2639.4926827062163 2698.0935163034183 2588.6278702203394 2439.9141431781686 2709.747122049461 2504.1867136147866 3433.6397001225023 2577.2507107923425 2446.7651597940744 2434.6487497153307 2627.6222076949666 2654.293847969789 2492.498716694359 2553.1476052769676 2064.472292181562
inception_v3.tflite,443000000,89.9841,3038.1293604261878 2971.422354637532 2644.065593527681 2638.612854350958 2876.3046021465866 2647.2523704493606 2687.052303305517 2690.6986879542505 2669.4870335587207 2895.7858321328877 2740.552051570214 2656.940378042745 2661.131251072862 3016.174283625464 2647.72938532479 3005.4786983570493 2759.659025147965 2640.0887585980845 2637.261617590724 2790.292149830104 2707.4411219379654 2669.0777514664874 2792.073754069986 2702.8608278903093 2472.7796938283645
inception_v3.tflite,491000000,83.4952,3096.1176251651364 2846.0063318432326 2772.6935282367826 2773.3810816202017 3075.0307927518465 2849.140018990047 2758.047328562828 2861.461939865529 2802.836600180893 2785.7402799437295 2911.5935266444385 3049.344357289063 2744.9223480979676 3021.0649309508635 2752.117691450239 2779.05261584938 2892.207703040958 2751.1792588868607 3629.5099967026235 2904.749082455569 2778.6757081560963 2939.6557223956647 2831.636841186213
inception_v3.tflite,540000000,77.4309,3185.337972380755 2967.930069945516 2939.7158502679395 3316.738301418383 3029.4917625557955 3046.38813672453 2935.457696905306 3051.993951045944 3097.147106280862 3776.2807231955735 3461.1041748184803 3537.0518303159147 3411.6022565658336 3130.815721258016 3066.559700513925 2973.833845372054 2994.025445838033 2990.6934297484313 3009.5910055011577 3101.1002091217906 3119.1364272755422
inception_v3.tflite,608000000,71.4274,3474.6724581124517 3473.228914395245 3385.2508144791295 3379.3523257257075 3311.1364377697682 3374.0600171309807 3370.029690339656 3582.985419937576 3383.7734143623516 3388.4217298088674 3355.5961678301674 3340.540613308373 3407.7643419985156 3378.6705440696287 3394.686469831579 3416.2493920081533 3352.6309077606834 3378.2586329684345 3347.019001849377 2386.291958867405
inception_v3.tflite,676000000,60.3333,4797.608010721032 4543.636745150398 4593.606315871719 4648.2345294673705 4487.083524199941 4464.620078275651 4628.819341785948 4567.668536831051 4508.829460803293 4537.63927076169 4573.544707311275 4582.217920554827 4513.223333120447 4470.29439339545 4614.470723772272 4534.284517019306 3335.645474756005
inception_v3.tflite,738000000,55.0465,5532.682581652093 5631.7408112237745 5350.474878401911 5322.91716652819 5304.677769894312 5322.756173632805 5276.368346943223 5372.820521245045 5309.404658216922 6557.464356168983 5454.270711752603 5373.1119045777505 5629.496957265765 5573.31498626284 5488.287233093611 1291.7202065430813
inception_v3.tflite,778000000,53.3017,6021.05548751087 5886.272336203422 5865.716920446616 5910.706916786429 5863.790788181798 5924.510738993278 5990.976657654875 5945.231540727182 5923.709138465219 5976.758172307021 5900.4943432868085 6071.553439011145 6029.110503596636 5918.782188813496 4908.579297816194
inception_v3.tflite,840000000,50.4005,6914.7481203226935 6802.018731885171 7075.187107388494 6872.250029166005 6803.611260337838 6854.703006079661 6934.483354951991 6778.254926893311 7195.021228987068 7017.971336811133 6831.929940080109 6913.589300188298 7004.360169264555 6901.97497873121
