model,cpu_freq,inference_time
inception_v4.tflite,1920000,870.491
inception_v4.tflite,1996800,868.735
inception_v4.tflite,2092800,868.771
inception_v4.tflite,2169600,868.054
inception_v4.tflite,2246400,869.41
inception_v4.tflite,2323200,869.398
inception_v4.tflite,2400000,868.508
inception_v4.tflite,2476800,868.127
inception_v4.tflite,2553600,870.933
inception_v4.tflite,2649600,875.1
mnasnet.tflite,825600,17.2052
mnasnet.tflite,902400,15.7482
mnasnet.tflite,979200,14.4169
mnasnet.tflite,1056000,13.7392
mnasnet.tflite,1209600,12.6955
mnasnet.tflite,1286400,11.9048
mnasnet.tflite,1363200,11.9218
mnasnet.tflite,1459200,11.5703
mnasnet.tflite,1536000,11.063
mnasnet.tflite,1612800,10.45
mnasnet.tflite,1689600,10.356
mnasnet.tflite,1766400,10.1253
mnasnet.tflite,1843200,9.80458
mnasnet.tflite,1920000,9.91648
mnasnet.tflite,1996800,9.85044
mnasnet.tflite,2092800,9.95192
mnasnet.tflite,2169600,10.048
mnasnet.tflite,2246400,9.58614
mnasnet.tflite,2323200,10.0377
mnasnet.tflite,2400000,9.8503
mnasnet.tflite,2476800,9.76268
mnasnet.tflite,2553600,9.65594
mnasnet.tflite,2649600,9.91332
mobilenet_v3.tflite,825600,10.8174
mobilenet_v3.tflite,902400,8.23912
mobilenet_v3.tflite,979200,8.92802
mobilenet_v3.tflite,1056000,8.24592
mobilenet_v3.tflite,1209600,6.76442
mobilenet_v3.tflite,1286400,7.83284
mobilenet_v3.tflite,1363200,6.85974
mobilenet_v3.tflite,1459200,5.88672
mobilenet_v3.tflite,1536000,5.38738
mobilenet_v3.tflite,1612800,6.4245
mobilenet_v3.tflite,1689600,5.21372
mobilenet_v3.tflite,1766400,4.92526
mobilenet_v3.tflite,1843200,4.84098
mobilenet_v3.tflite,1920000,4.84286
mobilenet_v3.tflite,1996800,4.8989
mobilenet_v3.tflite,2092800,4.76862
mobilenet_v3.tflite,2169600,4.69376
mobilenet_v3.tflite,2246400,4.69044
mobilenet_v3.tflite,2323200,5.03376
mobilenet_v3.tflite,2400000,4.94122
mobilenet_v3.tflite,2476800,4.71834
mobilenet_v3.tflite,2553600,4.83304
mobilenet_v3.tflite,2649600,4.95554
mobilenetv2.tflite,825600,34.5597
mobilenetv2.tflite,902400,31.717
mobilenetv2.tflite,979200,29.7856
mobilenetv2.tflite,1056000,27.3475
mobilenetv2.tflite,1209600,24.1844
mobilenetv2.tflite,1286400,24.1851
mobilenetv2.tflite,1363200,22.9924
mobilenetv2.tflite,1459200,21.5023
mobilenetv2.tflite,1536000,20.5951
mobilenetv2.tflite,1612800,20.0895
mobilenetv2.tflite,1689600,18.8748
mobilenetv2.tflite,1766400,18.8836
mobilenetv2.tflite,1843200,18.5388
mobilenetv2.tflite,1920000,19.352
mobilenetv2.tflite,1996800,18.8637
mobilenetv2.tflite,2092800,19.1505
mobilenetv2.tflite,2169600,18.8931
mobilenetv2.tflite,2246400,19.1568
mobilenetv2.tflite,2323200,19.3712
mobilenetv2.tflite,2400000,18.5444
mobilenetv2.tflite,2476800,18.683
mobilenetv2.tflite,2553600,19.316
mobilenetv2.tflite,2649600,18.6994
nasnet.tflite,825600,132.21
nasnet.tflite,902400,125.93
nasnet.tflite,979200,115.259
nasnet.tflite,1056000,110.536
nasnet.tflite,1209600,98.94
nasnet.tflite,1286400,93.9896
nasnet.tflite,1363200,88.8823
nasnet.tflite,1459200,82.385
nasnet.tflite,1536000,79.3155
nasnet.tflite,1612800,74.7393
nasnet.tflite,1689600,76.3863
nasnet.tflite,1766400,70.6536
nasnet.tflite,1843200,71.2893
nasnet.tflite,1920000,72.4552
nasnet.tflite,1996800,72.4927
nasnet.tflite,2092800,72.1117
nasnet.tflite,2169600,72.8026
nasnet.tflite,2246400,81.9453
nasnet.tflite,2323200,90.3383
nasnet.tflite,2400000,88.9053
nasnet.tflite,2476800,87.8761
nasnet.tflite,2553600,89.1812
nasnet.tflite,2649600,88.2236
resnet_v2.tflite,825600,1257.29
resnet_v2.tflite,902400,1111.58
resnet_v2.tflite,979200,1033.83
resnet_v2.tflite,1056000,967.114
resnet_v2.tflite,1209600,835.575
resnet_v2.tflite,1286400,792.941
resnet_v2.tflite,1363200,949.469
resnet_v2.tflite,1459200,992.467
resnet_v2.tflite,1536000,991.596
resnet_v2.tflite,1612800,993.856
resnet_v2.tflite,1689600,994.163
resnet_v2.tflite,1766400,997.347
resnet_v2.tflite,1843200,989.941
resnet_v2.tflite,1920000,996.168
resnet_v2.tflite,1996800,998.067
resnet_v2.tflite,2092800,994.397
