model,gpu_freq,inference_time,power
EfficientNet.tflite,320000000,535.599,808.5691797914777 80.85633440928821 80.66906434191107 453.08039982088206 834.5194261233485 678.4089838423148 80.60584073119806 447.4207679891563 721.5856554586347 723.698147104484 954.810846610615 1230.1207620634916 980.9100802771833 755.7165599563784 82.767506076804 515.9423177674943 1145.5426055072594 804.618659358512 81.43352837932446 608.4845056797195 932.180175946654 300.03192815574533 81.63952388621098 489.9388881214872 923.8155160948613 746.4344788954012 81.23389992191605 103.87724807923775 677.9109053879284 926.2762999202027 1163.7583166015643 1571.0982123648885 1424.1710085316856 811.9845082975986 82.72359637764225 759.5130108809442 750.2484687031819 748.4405708884811 152.9263327631672 787.7732425329081 850.8809532903983 371.8199015969874 91.69667183369866 560.563699652117 921.9216691556034 278.187894387028 239.65788725992942 479.3670744050928 853.2596941468287 763.3183293368022 131.29570020469896 746.1280064272701 759.2584343967518 82.97041532056826 80.46716433944098 494.0979495125648 946.2990122056066 736.0523365962305 645.6417826011738 672.4177195004114 646.1109847505584 639.123010639851 830.7374876577477 91.38654756137599 81.85483064338943 905.7974673218156 706.638902309368 258.3905448831807 81.37048577778293 457.41035755209407 817.6391870621026 576.4543675188793 80.70307875200663 776.7251705195165 974.4786293408887 157.90926936536488 214.50526544228157 752.1158955132848 762.4172505541567 589.5189576680432 1064.0785136708791 896.3757197094479 729.1293760436417 128.30995501600978 471.9520511402378 917.9282280517277 653.8862671340943 80.7990683099599 486.09330861055514 800.7766862376493 752.1498514328204 80.37189104063313 695.3135879581947 1077.011254003341 289.422788223791 81.80291696017758 481.0281513831902 870.9735159528351 900.6788489151544 848.1337808893362 1107.5320355426124 946.9243231865048 1378.4789716429311 388.51667272592164 80.9206153086541 807.6938179326715 1002.0406969898717 352.02867559321174 80.78832562694954 553.9433719858878 1155.7606190276258 629.8956003228863 80.27710403295346 779.0215304945881 842.8207995337856 403.63678619714096 81.48720945063597 883.3410074815052 758.8374766254557 390.28488290311265 80.73809936848056 458.6190490595013 724.5669664331526 941.869433557275 430.27665031043006 818.379567471751 1365.7877400839927 487.78712025581024 81.48783879681659 714.4511198246973 961.4517359212098 527.7252963880452 79.92536229699296 814.8938096610283 834.4464806098955 392.499354860334 80.93674738380051 612.0519647340975 909.2257855272725 573.34309593731 80.65051642016452 908.6517969227958 713.5220544785655 439.16357317526 465.8920226749773 1048.8591072411564 761.9441495582008 90.53466158754428 782.314111494867 994.6822871955225 463.0068538835844 80.51547776707967 706.905606524272 987.1365507698619 651.2417158792924 81.19573965037809 365.59051610784394 810.9027089271729 565.4995813902873 381.50210753280993 449.26125490378973 902.7981551227169 701.8057983359878 81.03627781061188 667.0863282921475 1192.8700947333643 361.3713350324195 170.1445184757872 663.6395860400339 995.785125755437 454.7593912511818 146.51043092365956 758.5051008462376 763.7418022199319 436.5777741328767 81.11688611792984 489.3347862607457 846.5307318923778 758.0415652069797 80.62035982650204 606.7388909915902 865.1951252133942 1030.706119591355 502.3991147039401 998.8410636267541 1483.4458547053841 1021.2562651945785 351.0575685277422 1323.0257545264617 747.7896399341706 82.02250263607698 363.3100255714202 835.8604964006273 801.6562244283385 83.28157571233163 632.9618783242778 882.0865604093426 313.4675876074156 236.0767733130871 1089.372640331076 1179.5194690413487 542.3753795336946 82.01978740708073 1342.826048879184 471.0652054531254 887.977371653589 952.521182340832 1101.9098153856078 699.9484210197728 791.8390922872425 816.7387574986777 815.0707264004008 365.38098065775074 150.54369456777235 784.6646645991966 737.0495486242435 237.55320657474977 82.87461170344565 882.7577604293699 806.0023081585757 121.06288697485068 707.9778910094526 1280.9490714102076 745.5921459877085 80.96062681278309 353.5334648270241 801.2428155206245 640.3836927077535 80.49651700787228 764.1585993544202 844.625240266276 306.57060571422176 506.634878177053 1084.6989021453055 843.3552026803193 93.10086338807704 81.13139066035677 598.4713535641321 847.521605993656 736.9492072548595 80.5212810892352 821.1444555932479 1087.3884504270516 555.2767056318244 938.6058524364595 254.6792080185505 397.30985269827937 917.6466761563304 751.6173669919204 688.9473955305433 716.5769230406069 760.021034169792 85.99185149083698 80.51198635747842 650.2165409647288 907.6734434006039 558.7147623199185 80.66251710744262 807.5710264933967 958.0707973980404 352.6048849753723 81.06708203665053 618.675993538149 949.1324198925599 574.904246262129 80.41170906027384 885.5591597813986 799.5498071636391 82.36393119701566 80.37394237017959 845.9086700625955 642.2339435491413 1304.3193801057841 1653.180009798539 1212.9307779521162 839.2184305454108 370.02858550423485 485.42888372093205 1146.4707982352588 810.9233877673878 81.92768843328055 496.3760072781679 898.0424300437502 765.7955138394916 80.97087746838486 812.7066420171491 845.6004211876252 182.21731410107802 176.0299645787937 465.0642186360779 820.9747096385215 766.4746320920821
EfficientNet.tflite,465000000,459.184,1019.8170265779071 905.5379583012125 392.98420784291244 848.8836119356612 813.8930471500099 983.896538807283 536.0549879305834 962.9311004385193 711.6109080279434 81.45064782615957 667.6662069298224 964.2395226590281 343.4594632342007 80.7817042947562 546.9285313774858 970.2638488525706 503.80875536020426 81.45859082178788 349.17181940138363 896.9981448369613 787.4794942397897 80.8001937692541 810.2455657529704 881.7701914543705 694.1012244481283 688.3005949845112 803.0524845817404 1426.8897722827462 728.1358182604597 82.61757795288578 514.8998290948546 876.2721982381677 706.7812410152586 80.85966461042018 740.8040961906947 950.6050760395865 270.2624532596763 80.40639859891019 564.666225950393 886.3907943474853 547.5354814400617 81.1418100890372 720.3014293170287 1135.743806391049 445.1893565514879 81.1416511607231 470.12592863456473 948.0299138487493 805.3510166549523 943.1700951004029 960.5136215517069 1588.5504183742987 799.4196362084953 255.0119364092341 617.8231167278067 988.8212486670723 545.5221896856931 81.51370510493925 902.4995972196717 929.7342636442141 308.38878002994187 163.1329628871237 762.9027385399339 1037.4214234392734 318.8216900961824 81.3328431501555 699.3120235334511 999.2914770974755 396.7648530197495 86.9326927872654 638.1151246991809 949.8832453460701 323.3684813660077 80.47291668905622 824.7689769332925 1268.669097762534 691.7105251157011 80.7444271793262 755.4796177727477 685.7738754642584 509.1413241650593 80.40793283009747 492.3437943711922 1154.4249843421144 657.2024956988749 81.79708381884805 577.5146134438435 1131.6950465343962 587.3119150623842 80.3445680085141 738.6129211811962 974.6492473477614 552.2345953656096 80.50561344451458 803.4222078856424 898.4140422997406 732.022894786841 761.8932647441044 1303.2312717434932 645.8939550753037 80.73135637215299 829.1925110701701 753.6171272124525 1311.4416114964474 370.71200445318965 517.3154606299902 910.3223889916579 258.47694376440546 103.8829891958881 465.17750543582423 1078.4651012426732 719.4376283851467 100.2066472902625 690.5040838016365 941.3001134468498 253.25029520346212 436.37056339360515 916.6140897047411 755.5510212583707 92.81884187503768 554.1322382624026 1005.7648675550172 731.1612301820609 520.9090739398096 1343.1707589526418 775.8696308574355 81.11832629421737 80.99722257697881 816.8324898570061 776.7793766407611 852.3355621999273 87.84195977270814 541.3084263875662 751.73199649603 814.2678466474322 81.36593579392773 523.1165780525708 836.8738830203927 640.2959907519679 198.71578824148148 882.8216988599132 936.9619672049538 84.83985433704117 832.4172946182462 863.4057556052202 180.51843815020618 205.9468767150163 738.9590345092638 483.7971823255278 417.1246252562774 868.9576783985282 1387.0024929281715 1088.9494061607281 82.93406062746013 894.9844883490458 852.8941473615904 738.3408107215253 81.19152498075647 477.27236922970445 1072.661491817372 339.2181862331343 81.01906928159026 570.7813139501588 891.6770936602389 492.2791440166751 80.35261708954079 745.0733880985015 935.9724205768214 378.69400320797484 81.22271873091024 477.0848856420347 855.2849517038011 614.8818473580782 80.30637575474596 572.2050114212167 1269.72464785423 1008.5927873346766 1104.0499159929377 1858.9629427389318 671.1269845570465 81.91002323526106 734.0336392490408 745.8312703762867 997.171024886711 930.325702568462 831.8104771828863 944.3275277791312 210.88725133643874 81.64547057713895 566.4201408709715 1145.943567979868 463.0350632196093 81.09164834986885 649.1127433803746 982.4111547693215 441.2394375911615 80.48201233251108 757.1243186017239 1528.3868738809435 755.6040140485352 81.92623459908502 577.7275268644826 1307.3595666238439 787.5304862152948 398.4568262889573 468.06488025647513 1203.5118384537693 849.5348797661351 81.55396031225732 864.0370681886668 1541.3861215757422 202.61993643220507 80.64943216402452 572.6326095590658 1264.9923566462799 388.32033278088045 80.68410579427423 844.0263934394127 1271.284698590283 496.7243752972513 81.56164125787825 723.2157755616838 1108.5853515860917 842.7976259026507 1273.7439604464582 460.362153707947 81.8911973318631 110.11408078773033 844.1395848938987 947.0450146419996 81.90044786765307 81.17416524946945 511.61224324335393 879.980585334088 627.1820261319335 81.8944354404177 170.63516819506225 781.1904761609809 1014.5241121485735 1066.6848677874953 460.2500230165131 550.2707128460535 778.4434281772023 780.7340089950528 1485.9325974982316 1378.0353580628057 1056.7420384868972 769.3806736987357 735.0206360817642 568.2680610582346 308.4891778460398
EfficientNet.tflite,600000000,219.742,1065.0748956313469 992.1713801713101 1158.4310397717059 1518.3571063033585 834.0266334676768 1048.7380950095837 482.0002045886204 81.06532150980205 506.43085198384546 1158.4189018654172 791.1736855700668 80.81171580820997 782.3174936372416 998.9442947680901 212.20289569658595 81.36634394154467 598.6029161092862 1029.8739897882488 486.3295903220368 80.55396880482239 535.1624922279777 1189.3854037765009 785.6343447191836 1209.5015640640852 1029.6350174315662 302.16492574255483 84.26705764856051 463.1897538224598 1169.272923511561 773.9945088452622 81.65689988396701 777.6474841098991 1043.183860850045 362.9986325933954 116.97087471510171 453.6214281260945 845.4530608828248 738.3855332780715 133.83611027431482 746.3005804058877 1125.9801598255747 613.1366782847915 1248.0194950895427 618.5838648956137 81.13085352971974 81.59885546224056 617.3760355335386 1279.865383965506 417.22413521021406 80.30858157829344 749.8528803882417 896.3061844120747 167.59708728860926 80.2006443742234 736.6017422890891 1217.6974980802509 851.9470757316021 808.0116748118282 817.2039646166817 819.4263226589272 1050.3047735218606 1980.830288128578 2524.0336906551565 1689.6922301828245 1924.5848125925986 2086.574782413717 834.6447091954174 660.5439184238801 939.2902460068744 896.1266252136431 81.95610688510307 754.6584897550725 1529.2779672190106 473.16806002859005 82.36607212138054 837.121016760663 2417.610823395519 429.1511897347713 81.11585476233404 878.7425018599487 1881.356923878913 83.38198272462735 81.3461230435381 797.0551950439713 2350.7029122371505 1492.7124779914552 720.1775198473356 917.684637606293 1078.3562747028486 964.1928222138348 478.3419398928977 999.0135236768832 735.0295986422335 81.8805104769079 784.8069390520257 1032.791734835859 782.253920943592 846.3899859868744 948.5672977870918 947.8632757164385 1375.414300360052 1310.6850100105476 760.0473354718389 1777.7723185159423 923.245221461747 478.6489675972272 519.1985716290505 1002.6322154068421 660.8104582677094 81.31052697387594 619.6613976636454 992.6962602491549 520.3004859415544 81.9533572926102 465.6395118857186 910.4143676282818 892.4559183422416 92.64106205160735 562.961350784738 1331.4996437344223 633.4425765463485
EfficientNet.tflite,785000000,329.37,1277.717739533798 302.48161251092193 81.15620369430303 357.96550152289973 1173.4990416088149 1097.1890148853422 1299.059559276658 2170.2363154067853 551.2461473039633 568.8235723932236 388.73481219265415 811.8640827540404 791.4310225713533 82.41537006093667 783.3097958464872 1224.5103471492803 364.55753446073766 81.15924539182048 545.9759896639302 1160.7741479956537 238.54124177161293 252.67436551964573 750.498464883425 1134.3171553453296 81.75587753574557 331.18845067552195 808.5605718255565 1056.5285674246074 81.76721105772236 840.6609338264146 940.9191575591833 838.9261531241368 1193.4201678048241 1098.902597031628 1072.5113763583558 648.7870487247973 81.48084877560883 660.0109007428475 1456.849021320144 493.1930713582025 80.10098120622403 737.7711679409858 1332.1906812571465 299.1538247814817 81.82495366673115 542.820123871302 1043.7008358837493 485.6108701573851 81.5345570357205 667.5893159973248 1232.2131548650786 1282.6767766478897 240.38940529055992 707.3956457450058 1439.1464875449772 294.6659152419067 81.75410654048791 445.35891321425026 874.2643495275722 1260.39578798035 898.3601489676931 845.6197314105704 474.2153029084736 81.9389226025789 873.9583646489289 779.0441770788573 1092.1880250105346 117.66825909602731 738.9849379440293 1312.4206878771035 402.32006402988384 80.16679190012984 882.9925328654435 1406.8063871004208 327.06921808744977 81.75746985002041 691.2987153978099 1411.006298371117 506.24604799079873 80.78100238248703 619.4356278478868 1305.9219610051812 341.737149248164 110.05876386317901 737.9602790238336 1165.1383695772352 599.3538058380083 1440.3881736362646 845.932140185683 81.3982667487744 86.74691928129965 655.8740925384399 1132.4348017086368 304.0162167140567 80.64814586765823 583.3756166748661 1179.0609279626674 431.5764245132653 87.81444994726313 698.17363724095 1092.1756876718441 415.11434656539 215.7867151759804 520.6704163746423 1034.2663826857913 612.2987189726485 80.6781219357762 676.4977016322358 1805.3057324690715 762.0404869213224 81.03608726220209 700.6309115161949 1272.487012995355 445.2447911284949 81.01046258895342 491.04078431341065 1301.3925959294143 577.8925985452703 81.43560407874627 841.7488883449149 1096.3060801999648 84.962540179671 80.45535784323656 556.9477395012549 903.6440126767181 780.885962346487 80.72685947023012 870.0826003614744 1196.6447267510223 181.07071850028828 80.2987927249836 691.6917188965913 1007.2928291600967 895.6047938457685 947.1280486412257 1285.515230943491 1269.2373093648762 274.23584314760086 81.74740953507046 713.1990055604379 1382.3187320099332 527.8515446194782 80.74840308501139 804.2687540469408 1267.3985907598953 357.97102824997336 80.068611346417 450.9250725125881 1028.897305781296 1003.4147216532798 81.9593291833545 950.7894717752889 1183.9032140738927 425.5243120333546 81.91013661617897 706.7454956316454 1178.526350405011 407.4956262027725 80.80452776422129 520.4201310115155 1087.8934477744453 1336.5921996575223 1125.1499822805695 674.0258322875936 1156.07239313982 461.1762163980646 82.2038830879244 487.0990646268179 1031.932467654217 672.9898567088734 80.89841248699705 796.5099612732038 1129.0511377128191 184.7228610382988 205.63061373232458 805.7612502444922 1156.218598540707 326.0779122606058 510.1721617594067 751.1189401193852 1012.7957224607469
EfficientNet.tflite,1025000000,206.528,1662.7384805789388 1737.803405337908 1590.7011313898545 1341.0755946031493 83.32359995656002 83.41316524361615 906.1210786322727 1349.401925664069 82.9695445441535 213.8314335794975 1013.0492133279421 783.6677763287948 82.80946496348912 456.8035606748103 1090.1644674764857 745.1993129882065 81.75478587797505 474.7124659745756 1206.8753944541572 742.5418315244548 82.21876133522959 656.9547858508578 1513.8944017441925 320.96497789315583 81.14638529881077 610.8250034810508 1675.2794881266827 1138.2719428954447 1111.782177668974 2447.6075871887724 2092.6431592121885 2321.935983126984 792.3081392577974 515.0096215452193 1120.7374391594212 693.9395232145546 82.21640882339796 774.8637663248302 1396.3631315605385 180.87556009924728 81.3151641092106 636.7377075271911 1423.687755411499 687.0784791548888 82.47972971127565 684.9043399277984 1444.6010603300595 308.9287694833531 116.82427538894224 808.8448284414528 1359.287165677347 1015.1534093051187 82.03480943706643 474.6699848123193 818.5785308344532 1056.3210339791347 82.95635918364789 504.02774016964946 1165.2497768164887 669.607510606836 109.91201515753646 546.9312026818892 1463.9720805342488 650.5405827854916 81.643128449195 669.9599871095481 1373.0397785618652 341.12206474036174 80.91954868579424 872.085919653397 1154.963266593137 86.4967801198016 99.51543538121716 656.6424902466541 1394.5061298370313 668.9336039498465 646.8835749038186 745.1066460647794 1659.712345154154 1120.746741294679 559.954273621391 1749.235553706415 735.3806665844332 82.62181920899212 472.32605238067566 1082.9357779783431 742.7381050165623 81.40436430984522 755.0260088637895 1482.1211406628786 249.75835276002925 83.48110521275225 813.501021933711 1480.119425065926 224.9609363986237 80.86305457821143 610.7137866137635 1474.8971805525498 646.9850534096237 2473.04480872115 2834.850672088421 2546.8139608863644 708.4600487529949 507.5524802251147 1157.6421395568896 719.7494521485304 82.31767170232622 547.7795865972813 1295.2891987452294 504.13785196720465 82.38315685343899 658.5035079010017 988.2957668389365
EfficientNet.tflite,1114800000,175.95,1920.0612289610501 1545.790742259529 1485.3662924218556 732.1890218031177 82.5479864939743 82.751958074114 621.3808765739182 1385.8002254227665 464.3937946898604 81.79469986929728 1062.7661069640278 1285.6830524284337 82.63776885865299 83.4280877765568 890.0143529549642 840.6589482149788 484.2923017845529 1895.5149811572621 1428.0358023638066 1601.514735583245 605.8759586436903 851.586512139993 2555.207357375249 1456.04769994123 84.0935102366425 702.4984075948979 1432.3825485059465 373.43667487244807 260.29261168492206 1095.1644373007466 802.0485623603894 82.02447696897961 596.548718660475 1738.9889132662645 603.1404023270161 87.52825450462849 751.4631631287565 1597.1590416448373 353.75214452739607 82.16776720065485 518.1437025441849 1501.034726522065 1856.078152743931 1445.0436516588688 1374.1497333899845 657.2581032302335 1228.5515496093412 345.9002368542141 839.1910662881266 1437.7224151888206 485.26335859485914 91.36094614182888 802.6064991885579 1638.062308940072 121.52125845111385 82.93430667891457 304.42790051970235 1379.0243603816073 690.8299733124289 81.92861198560482 104.34103377949319 657.7772836144644 2369.1519789910417 486.1407311344507 81.39665430382469 529.8253659067941 1370.7474114333877 561.7748835102933 81.37231179458733 647.1278594705024 1602.2923865844193 738.717333498971 1790.9575928186346 499.4807402008064 709.6679178822927 1486.3983166383425 227.13215458121823 82.19596121154748 558.7522447218876 1709.5187758015886 737.3218772880149 81.46199298253593 475.8252486976175 1155.776105737518 703.6371756172688 84.20080707109307 882.4566493608888 969.3622223848623 92.93765690214234 81.77940838705655 539.9137334026141 1768.3963213133839 1340.4000762805438 1559.0643450468954 2194.51498342968 1342.8456459688355 602.8440804872304
