model,node,inference_time,power
mobilenetv1.tflite,0,264.01,511.8502607557176 731.386481575438 1465.2848217926073 416.84750964446266 1091.6518238463987 795.4580510148285 81.92561942097045 707.1925505423168 1685.8050878752247 319.56974053256516 81.0347563450444 786.2078809435187 1474.4400112862147 245.32956794868892 81.8025154929662 461.5293479297091 1071.7700133522699 1152.8638476555996 355.4050265240716 560.4192032533971 1968.6781023269907 784.6792889780489 81.47405712608347 758.3117162964514 1462.2258624777496 232.23002820592478 81.82583984338297 495.0862856914089 1136.5507423262998 889.640062705571 81.00606115828771 649.406022913034 1740.9798181532403 384.6556551845029 81.6351384538208 559.1613527311637 1428.6387288620435 533.7827140388038 84.16134820219672 670.2354710619956 1745.3766643235776 659.4237038513604 1913.9349383617766 1052.154259991323 82.0100844936502 81.78738418198603 705.351533175302 1411.9876954163678 201.21356805345252 80.53617398650394 819.8364657153764 1315.9263295071742 111.22734087517829 80.56230497394557 501.86573220794827 1228.921159916792 672.9702930638463 81.34111708316559 793.9120178570124 1405.2270045364235 264.3605430881389 80.6877917464107 460.66517283996234 1303.70518702829 715.3968745511813 745.6709977696881 1729.8967374321126 1629.269709575075 729.5098143188108 82.25854954648425 910.5548433651269 961.5993168884551 1031.8557838120778 84.25507745184498 500.4361354353823 1140.5488716301134 773.6401949271185 81.03099045970859 736.8801347234752 1915.4970498163077 409.33733552927043 81.10245966992439 821.7661368877566 1650.4085763863734 306.5119569462049 81.83328529965544 673.6274617696513 1487.6159708014054 396.5529350983174 80.98386155439309 912.2499541494826 1270.045472166187 1891.8024494923557 2091.5390263669046 1824.955626006246 197.87738483016508 81.51636095126392 816.1502143248118 1364.1424246947965 184.1186544227416 82.05372100304652 501.19479572953634 1269.0643573276866 762.5169702550874 81.68626557125216 553.0448735851295 1464.385376499215 501.6872663193379
mobilenetv1.tflite,1,99.8121,738.8673128222272 927.354134459605 860.834941008123 82.08354091005371 113.19366732394957 237.69453233323657 1580.054217859605 1434.8715231919878 1919.5007359978954 1281.821148994362 1385.9416358196522 1632.4178322615874 1712.666184687682 1246.290064170434 1335.8182940631448 726.8043039171026 1364.5069265927375 1445.0320451783216 1114.2519032469618 1223.5588448828917 1165.7421892237533 731.0664747216072 1481.649847777558 1422.0391595258945 1377.9345918767335 1372.7395647584142 1390.0474511834097 1420.5539457229886 1778.1201391336865 1601.470117585482 1686.8577669450985 1499.1647771862924 1546.459680368931 1439.12321863481 947.9043090497282 83.0737933281549 663.6081592547439 1859.4809297329082 718.2341882902343 1470.341560500951 848.9869500215709
mobilenetv1.tflite,2,86.177,2171.3365371370933 2313.0224935223046 1972.4495026926302 1246.011869835019 742.0040415266365 1327.91388899995 1320.787583222188 1436.5576577691854 570.5134176316725 702.6101263916827 1689.6664627006098 667.3540580996136 1391.4506919463747 893.5420658586225 1557.430222954393 1621.7747828290067 1777.7761135058772 2014.1163024533805 1755.9398912051427 763.3653069105069 863.0576069203534 2187.101691788621 1279.7864635582077 1636.9590327155968 1307.770310609312 1620.4609265256604 1530.0556414895414 1366.1498228165224 1186.0054561003892 1273.5112660267814 1259.376444109589 1036.119815749089 1240.1873245108875 1396.6297218428692 1643.4899186865234 655.0726643058481 592.2919207722081
mobilenetv1.tflite,3,151.049,1859.96338790545 2168.6709628146523 2553.9786641805185 1707.935583766899 1408.9015483627243 1352.577572700425 477.24378402875556 1625.8857569257002 953.3660980243951 1254.359305886158 874.4347454401819 1435.6403318305959 1767.5769659351365 1108.278437171649 1164.8502887113082 919.7951987890042 909.9336245811553 1289.8139170265522 1251.5781391469718 918.1654574562109 84.02346470957393 876.147329645993 1354.9362583700383 386.9530298299814 1080.5856224137306 909.082791045166 1638.7011895559556 945.9964408503567 82.54767931817932 654.3929466611112 1456.7964045276822 856.6529705437583 1589.7771920076611 708.9483616730546 1377.7171224877886 1522.8719787522416 625.3504804588727 1555.8947070845766 1018.831230103621 1133.649933817068 889.8099416307308 82.8689280341497 467.69366129543187 1662.7545817555376 1032.9130296516175 1486.736120497033 692.7446896539979 1450.5422575079403 1222.0485582928902 787.8960987417552 1121.8893321402031 1195.2889550354778 1541.4608100930068 765.1652746406288 1244.3665813413022 1248.3865451329648 1202.368386199166 1239.7745749609962 1146.9058780933783 1416.7334410763467 956.6010130199976 626.3497124260257
mobilenetv1.tflite,4,128.807,317.6200057101985 1934.8772311120485 1592.0768836895838 993.665793924209 1301.5569287951248 1641.1332137248824 1238.098908094697 1673.7562754518567 973.6294401768413 1394.8079928777006 1832.3757009917856 1625.2569434536606 1723.8017703517203 1733.1592475838488 848.4853805321624 84.52970948192616 615.2302719925775 1497.6081252105052 805.5487775262745 1470.4497559743327 799.2029727041206 571.9123852258683 1586.1993441144446 415.4836642757168 1003.0597097801102 1219.1275781537663 82.78990145834292 83.59762787825477 842.9192063224995 1193.314849830529 809.0203547124132 1142.2944290295122 1120.164101242138 623.4176459963685 1806.8871031242597 1192.6798511604572 1932.823845563204 1886.5420983036915 1402.405666049048 779.7417365310704 1401.0105287107274 1373.4507872255856 1732.009796619296 712.0211042848205 1248.503387810185 1499.2019492203806 1322.817915692552 1746.0214755076845 1855.290399662818 1875.5911531651805 1396.2131269147965
mobilenetv1.tflite,5,119.755,804.5857717163642 975.2112847503876 1153.445579116472 1028.065935730211 1427.7015172616761 776.3602922106178 909.6557704802101 1285.0299284538223 1337.326798709283 715.6951029538166 1304.8537473212778 1329.0946846572388 1956.8988342035486 1618.0752519494333 1972.0622905938512 1426.6279391612193 1847.3875307603676 1268.418897998521 1203.5400802952627 1247.364940148839 1278.3710328273796 738.4558795763819 793.6884517296842 1700.751254652504 766.7036213413563 1795.2311135454813 976.4400490731647 1222.257856061756 1398.697677547352 793.0370905243357 1455.701279450313 1809.529723044872 1809.3728615166658 1856.7854824109297 1567.2994261200981 84.69704389057131 716.9309435824166 941.0197692448496 1479.3076102986834 566.1204401535128 1816.034119746724 1686.846681075298 884.084465906483 869.7882199785095 1366.9024758275984 806.6823050893154 1382.577698392013 1331.7172337855686 742.6411847097274 894.6836600385305
mobilenetv1.tflite,6,112.829,1320.9269476164714 1358.2627785632244 766.2279429204496 1446.3533592468373 1315.377022068532 1211.7969163267078 1379.1718450048522 1262.2773774600864 1127.1418319098807 796.9822034061931 932.8813515756708 1370.1287817003795 1294.4192852479289 1332.3309837062527 1460.3640525293904 1276.528659017074 1292.4354329211635 1388.140049062052 1503.524862908491 1153.538302857238 1176.7456913816075 1291.9054531877896 1212.6473629740174 1173.9487333086843 484.7922357025902 1509.097714000442 1619.1663755660456 577.9052527878022 1565.2777231924217 807.5348402749785 971.1051228546049 1369.0364792649789 354.8846190931098 1334.8486294829854 980.5629122389929 1255.064256887727 1732.8270151993231 2033.051543530068 1250.8095993404916 1561.2167639284044 1332.0881886252057 709.8146325651521 1483.3047015614297 727.1420906188476 1129.928613770707 1670.5057046414593 806.845443629466 530.9143353586328
mobilenetv1.tflite,7,116.088,1496.356313706911 1718.41779520203 1720.4194261079774 2241.420621095311 2030.2696246116643 806.8922440257392 910.796684684374 1953.017431099561 716.9916318250481 1605.9783752902747 772.4765837088519 942.2539534605493 1593.4206667285614 846.1672370403943 877.7864555972794 1669.4209603310178 738.5769390954076 1313.0127156224032 840.03683925398 1311.1321054304933 1675.2446594126525 1133.176184871073 1833.0784712490902 1810.0183264821203 1115.046455246676 83.80337833482365 82.26918197092127 880.0185084540403 840.4653287895908 1498.4732431467296 324.0632073393533 1198.2358641732187 792.6583514235793 1466.6609993447876 1690.16211922908 1585.2039105441743 719.7005428598832 1478.2694494565524 1674.603025024383 1555.98036486011 1864.7176978378957 1598.9209933671127 1887.1130519864137 1923.0063115200153 2057.2560990113384 2450.7044165767034 2754.331355408027 1084.7464909309256
mobilenetv1.tflite,8,111.105,305.54733739297683 771.8749382137233 1972.6900555127486 895.1483109023782 953.2298586746532 1284.1876056891851 1547.1718104639524 447.37919312487367 1514.9548227202877 1283.254980564775 2037.3118773532112 2170.0928047122266 1361.3766024622355 1780.5264480199564 745.1155892996632 1819.1804037187712 1769.2364372688794 1807.1655213585314 1556.8644995542734 1515.8412869504616 1092.28785993334 1202.7909662171212 1449.3843836197502 609.3424586850083 1326.9818002632974 785.4160677738186 1032.9553429942891 1498.5171752657739 731.6021308950587 2328.504735608917 969.4290778633366 1178.7318685427572 2044.9827931253449 3002.61447905577 2365.950715578452 1801.5054357567067 1567.0587595237046 389.8107454785032 1368.3489621104154 809.9666433593443 1482.7489519014275 1794.5307383728255 1750.4956151444146 1792.090838875383 355.7509537443981
mobilenetv1.tflite,9,137.741,1529.5466350092327 1472.8430929365202 733.1870211045732 1381.5499084290059 1341.6016741144003 1361.0793730073563 1303.940127410719 1316.8159473827855 1273.0785971143298 1453.5941198295434 2021.234331858661 2055.310858846577 2081.8558286980287 1236.4702430529362 828.2900672135054 94.88470669819398 447.81666327349456 1473.5554175726377 733.4993758761383 1448.5571554745682 894.0506817941513 83.26184339003014 322.5794891008465 1337.8325191750043 812.8303505146044 613.8548611164366 1657.3155447394472 388.8369177832497 82.59253491267239 131.04862009549353 917.1869014733513 1837.342452609589 836.3522208760744 1793.2084786212913 1167.5369140823823 826.1438970068658 1294.2218935058065 1835.1592620664337 824.7972987641106 938.4501870042671 2066.308916564778 1049.8816510527924 1406.2379920483252 1952.9920302498576 753.0987480103945 1795.7693380377063 1732.3047585561071 1830.1679999314463 731.1148563536303 685.5332485912544 570.7190102660688 1964.3877219377182 1406.748460274654 84.44849816999374 340.0311952640111 1026.3238615746884
