mobilenetv1.tflite,0,213.047,1599.777578957172 242.60953965238494 81.70870460890993 492.811625179915 1134.7944231955153 761.6827339000547 83.26790710990832 1861.8214230960423 2138.02054982171 807.3269944687797 390.9283489633952 1268.4174321049125 700.2424224849158 84.33530544654141 753.768515394743 1607.0802785129424 853.7468984253956 1802.357397818847 1489.2992544224298 1112.6765859847558 437.6443483724112 642.4288587271334 1614.2387077175772 391.5104838842888 149.91743084819532 867.1250621472648 1035.0156517177668 81.28144155706104 723.6153732803131 620.6049983149962
mobilenetv1.tflite,1,95.3155,1489.4050615882704 1407.6944347145907 740.3115526664919 1514.3658049650544 1267.4454049377161 1676.7183140928792 1398.7985042396408 1488.1188627410586 552.8864172704682 866.018038653404 1456.3077821168106 1411.6244081950558 900.4106836450234
mobilenetv1.tflite,2,202.13,1743.905058597683 719.6922814092976 1634.3822053824006 842.2567299375743 82.26008903917051 368.8322615002996 1418.319703823779 1566.8688786937053 370.17683785410844 809.4757134106095 1340.3713084825044 1230.3179419870244 478.214440675947 1007.1570542282684 1440.1571704776065 84.19778816582806 837.864541058999 1233.3280423470612 905.7445749445088 1437.9235523029172 533.4551822787787 961.912518054698 1465.8922263169504 496.44966456022354 1943.904329388833 764.9610753494122 1615.8862019505332 1747.9010321439039 539.613272921585
mobilenetv1.tflite,3,217.7,1877.476165239118 1386.988924224422 255.2410001717055 691.4486495006682 1445.2315423893726 707.4003382710649 1486.4148472862573 817.6159683476037 208.61726846442357 989.1534554868946 966.3930969218204 81.92457357090096 843.4251502423099 1238.140147629788 666.0162814691284 1903.612474782943 1698.1621794478565 1308.086341485235 1867.8571717173188 2077.9834839945706 1061.0066895023126 83.50592013376105 519.1835781261324 757.97419384801 1476.7645383971117 567.7117188194343 1409.1651061745345 1518.9829204473494 347.2313615654108 1012.7623161858745
mobilenetv1.tflite,4,168.613,1498.9058233514504 1581.3735462092015 1402.7206889068534 1196.858542935575 1220.866923883495 332.57176922246737 1373.3531558774873 746.3083872699594 912.6195456581057 1219.6434918891794 342.67820074825363 1259.1906293681268 995.179158474484 81.96731490628339 443.95464468556924 1517.5592203672472 721.0826232878403 824.5132147796081 1242.4873254513645 1271.2423680871893 1499.1856128716317 900.6654712393316
mobilenetv1.tflite,5,106.665,2135.143667779552 1925.6725341590916 1755.2358156816292 909.2404849490042 82.81676746196473 728.4367968167996 843.1823271599999 1826.798587200882 859.6534783708493 1039.0205022973416 1274.8899895244542 1406.0317629792087 1263.3119522738 1027.3679677947107
mobilenetv1.tflite,6,67.5105,1544.40383143287 1573.7093862141087 1508.6993713252532 1578.4581182822299 1838.267763734697 1656.8913375948316 1998.6206969073876 1509.7513861513141 1378.7016366601706 562.5925503751791
mobilenetv1.tflite,7,61.7437,3010.280412311327 2699.239761499855 2743.7840936458274 2333.3490200621945 2733.142286831789 781.0818293615242 2954.202733541941 2651.8856492489163 1322.2525442039707
mobilenetv1.tflite,8,97.5648,460.6548932946357 1850.847414234694 812.9410587732125 1479.6171537356122 603.0021741191184 1318.7555318863106 1398.642785669413 1509.976134625164 1958.4079709594548 1722.485085716416 1820.9278123659278 1828.84563842038 488.9517925517496
mobilenetv1.tflite,9,153.942,1668.3265370093097 1586.772317269804 734.219595223125 327.1152712877891 1247.5724447354999 1696.803088716937 506.79601060505314 372.3466145830973 1478.4107825822691 753.4921763754388 307.41009639828906 2184.9076623466685 837.9643003459183 992.0173015543533 1258.6426350928705 557.3985413026521 1708.31922501875 2020.5739626071559 1091.8599932557206 1413.965448906805 2339.538011401182 361.95939362758276
mobilenetv1.tflite,10,121.329,926.1028586993672 2189.068893682219 2659.3686573472064 2045.2217382932677 1882.76212870213 834.3552737566658 1039.858072681154 1507.3373325062553 1281.9281206516152 941.4902260664345 81.8294957318678 393.75791133132117 1527.9490329467294 774.3386020419075 1492.26001861686 1180.1342507584711 562.6532237092033
mobilenetv1.tflite,11,56.8022,1645.3816708348522 2011.732234883704 2062.432675742024 1927.468078711854 2226.237552022523 1779.322391951422
mobilenetv1.tflite,12,66.088,2041.8393145515913 2165.5518299676 2049.6821041285752 2046.3113080131952 706.4540250053662 1817.4595346835886 1380.2286285873192 1604.7081102384136 1980.7920787576202 331.91360795869974
