model,node,inference_time,power
mobilenetv1.tflite,10,17.8054,4666.417127904817 3723.9497451137704 3707.028402390982 3701.6220558473824 3684.824675856048 3776.6966448978897 3671.4893262942974 3879.2144223339915 3735.8339197768596 3610.909782629427 3704.2300240422896 3608.5061116931183 3844.713281091867 3618.398460271346 3763.1890384037315 4165.996701890345 3751.969779818563 3647.954966363494 3643.0842026786477 3591.7510667180873 4171.223469411157 3824.8304121005563 3712.219818562825 3623.246904789916 3727.5427504603886 3593.6056105469333 3720.631628725712 3930.959809274561 3593.478408522007 3589.494162702192 3761.3815339416465 3663.4487868273636 3807.3510066673302 3604.539378968594 3665.810833847769 3907.3678743554287 3700.912488107653 3623.6430447970865 3642.633661573311 3656.2068313605764 3616.7556024937903 4681.974399201536 3783.2285525381462 3617.6802079787594 3634.7456927396356 3571.8594097022124 4018.8754686599555 3674.90308217639 2384.139548598633
mobilenetv1.tflite,11,19.3288,3520.8067453883828 3336.2285864094033 3406.4672201511125 3471.897394487786 3735.271147440662 3714.5349885635733 3466.3141021371066 4724.242058598846 3641.8190540985734 3662.8608078988896 3606.744798749276 3720.6464609383847 3770.000527284235 3597.519825798303 3786.25727930399 3614.5480755111907 3617.93375930869 3493.502608839936 3623.1080344527845 3568.4376213649166 3468.340688317201 3611.7874935625155 3455.051467128898 3654.5766029611036 3447.8146507108204 3727.739155471425 3684.5120973157327 3564.526422968306 3731.058305774299 3602.273068247775 3471.679597028089 3483.363526458425 3519.3140805203166 3649.2232200753483 3467.96776221423 3454.325573918744 3876.146928411078 3697.475129187454 3510.925506369737 3500.7938422086727 3651.2793037760243 3460.4189952574607 3529.1284408869637 3540.5912213038623 3435.3959479188725 3585.0358028795167 3562.658635565219 3673.5900180184476 4385.716954050379 3462.0912858322026 3461.685039184645 4499.111458643062 3585.6034222700173
mobilenetv1.tflite,12,19.0122,4990.224740430764 4444.7347773881975 4018.5188682532216 4037.714142320706 3383.063720425304 3324.8720215999665 3446.903330882269 3492.5056902448914 3514.317721099229 4829.245761782061 3454.960822251071 3692.4758859773906 3461.794386164104 3935.1636680899674 4074.656856014329 4067.427931425762 3548.444081834234 3465.451371613356 3465.636915516602 4621.216311354954 4498.564883685456 4044.8386809727576 3577.228764453756 3564.7324452865687 3814.135335314731 3428.150435317234 3452.3160371702943 3728.7386973005705 3431.568546323474 3440.9454933455368 3552.091187339552 3498.260890920433 3463.7149073226396 3468.820355615049 3688.757510972738 3425.0006208635764 3450.9544381763344 3444.5527592904173 3551.0943390276575 3750.5393392472265 3629.657781978385 3386.5612664016526 3445.025171986036 3737.34854590201 3419.855491030797 3205.993957572281 3197.225651204758 3401.7607291763643 4672.62149375646 3411.420635976443 4564.931060599044 2570.8364766189643 1120.7871377360718
mobilenetv1.tflite,13,19.3665,3823.4562717561125 3728.9928489861127 3581.0725368913895 3852.6463247399474 3469.060291350913 3673.5101120753066 3499.904357898972 3720.9997471703823 4119.858125108995 3555.210653317198 3760.9067556452724 3702.269109386397 5276.027147330261 3560.9930013104904 3490.667410045993 3573.0422049915023 3930.334176556646 3568.251738830459 3896.0510381140753 4048.788509908699 3448.4340576342247 3487.2755072655914 3459.6394069049975 3619.7177341599513 3529.9322992141574 3754.649976152377 3799.600520780435 3574.9492026265757 3535.0416657402707 3485.801625306024 3577.241785764555 3508.237052627102 3733.6501556666976 3489.638852327317 3910.9017945539335 3507.3042291389215 3588.9779597775405 3707.3045150678154 3509.205743682462 3533.9618091769203 3633.6518509324424 3766.530715784874 3560.829915053616 3574.069179038741 3505.585670160281 3439.174458838032 3655.940959189813 3512.7814086670455 3561.479696738554 3608.9052453504905 3645.822467833546 3521.369016435735 3388.6190337024927
mobilenetv1.tflite,14,19.06,3619.6063579487904 3432.113375360509 3732.592543133078 3709.097751149747 4189.071247474281 4086.1174537890574 3525.574994813886 3869.646877973496 3465.7910534351713 3892.856692404999 3765.7052515128125 3728.7801086246145 3550.9164414771094 3516.6692974561156 3460.229806546718 3576.133663422034 3569.4634334256266 3795.192035683064 4238.067231185923 3715.548102498669 3530.21891293002 3811.254371109188 3482.562364697439 3766.2581521534285 3761.871611476783 3663.756137286595 4055.421026945303 3477.955041157876 3824.317845904285 3653.3007955660414 3450.9066069932956 3406.131949967769 3582.881109418743 3475.3054128472872 3834.5704593137107 3481.1509439360616 3489.9165826363924 3772.327209877921 3874.4968851198573 3525.3277228921675 3511.1168257691465 3463.923965069993 3631.9894062351905 3627.2151968302614 3639.686548934046 3513.7307334455923 3584.0313117415258 3445.952225759887 3858.113701013443 3587.5241731714887 3640.9518705502014 3595.5544199481374
mobilenetv1.tflite,15,19.1551,4230.084776655857 4108.871318353052 4414.910214639375 4465.443758853453 4171.4780456127655 4116.051253696551 4188.45651852973 4438.637849418987 3770.8975625972885 3786.7400211581025 3817.9958378683637 3690.852559731888 3788.7185666530017 4510.62042032017 4201.039002425243 4461.966617341237 3739.3043260205363 3550.3580725995203 4401.394335476427 3701.1339114327748 4010.0088369471996 3708.735000253415 3720.3164070479042 3843.327958792368 3736.750393539388 3812.2755573832055 3849.1352747589135 3768.0162146818084 3694.7071810355205 3697.953607743778 3738.5777902076 3713.7921682206074 3489.8262652258236 3604.1066742156186 4009.950757713515 4296.035877174529 4272.852707323696 4218.163803995894 4413.160179991469 4416.07604995895 4269.795843378391 4470.557343335051 4268.934385048103 4282.123381187731 4139.140063234204 4353.334237224159 4190.144251823739 4396.393428476386 4332.542467149205 4262.028073216964 4001.7040143518116 3706.531793805951
mobilenetv1.tflite,16,19.2826,3797.7742037611274 4057.0051425874117 3508.898640334468 3630.105704689288 3952.8809195328813 4203.038856728574 4197.351423175574 4239.994704257838 4496.215633956434 4940.843120365473 4249.693915334983 4320.836729634603 4058.7514168643715 4172.583147103544 4312.601160739673 4420.7884528906525 4183.859459686361 4197.784148120106 4072.2014433272752 4317.1743498455 4558.3759554237995 4439.003608698068 3865.292712030453 4395.708868329253 4040.4451041166753 4182.55572653216 4168.707349364381 4313.307661674508 4488.731980239469 4181.118254186411 4343.747683842951 4289.5391020304 4348.992471293576 4155.349446736315 4205.631188327219 4101.72990501354 4006.775140803682 4435.450606038797 4266.140660136173 4215.764424349446 6059.12207949574 4690.831793221957 4329.570983507494 4643.936313914339 4123.309148446992 4153.39386525558 4476.260541553081 4257.422355269362 4343.029499972711 4287.50211009596 4225.935760951198 4174.658409497236 3204.1408371471257
mobilenetv1.tflite,17,17.0968,3984.458879360447 3895.7055238375556 3861.7552833024397 3846.7222892122113 3993.493224257588 4432.647939258358 4201.241872409224 4208.046318274408 4174.8129276672735 4600.488546089126 4171.2538006657505 3902.8644434997386 4224.993704856272 3925.7020208095087 3956.774111571446 4125.847625095372 4464.917884250901 3868.1847110907042 4031.6045742245283 4004.378099920978 4467.798705811931 4222.142521796831 4136.6161597973405 4192.885621780224 4411.2226636011355 4519.163308336546 4567.687709836361 4458.283481497909 3909.0921593281246 3933.972318850585 3761.6895593045415 3872.0719765249387 3849.8866081488927 4070.497906471984 4169.505356815487 3843.5003349863923 3831.5218597703238 4016.0188414117774 3907.377351836827 4173.644022576992 3827.435663247796 4211.678201939014 5139.119353165467 4426.1444125805365 4512.376936573761 4475.331192616185 2955.179870480323
mobilenetv1.tflite,18,19.0627,3935.572416503812 4118.766622932555 3658.6860343352937 3740.3001539499696 4090.4509521204886 4581.89536687802 4267.596282266202 4359.984657038145 4371.860102659753 4345.253940326911 4311.468969990759 4424.241615721198 4500.5079507612945 4710.09520972501 4391.4774639613925 4403.97442992996 4573.088803090143 4502.855230005032 4567.716656658351 4559.535624510174 4300.315532270887 4541.845154837291 5196.566620758027 4521.105683616415 4480.415947979502 4320.741399671234 4339.754045035345 4276.682025331506 4424.707258347613 4474.718698640731 4218.345974377317 4475.126443077658 5239.562999316622 4362.536728899142 4495.972186542632 4293.147847687859 4274.35060893696 4645.113206760187 4983.617313742981 4779.144796734471 5014.957292506112 4172.937096742308 4559.071593312238 4449.5176882987635 4413.237344072836 4327.558053298653 4489.640994942965 4314.455024811943 4344.56520396006 4106.264741999968 4416.340805619595 4258.1943233678285
mobilenetv1.tflite,19,14.717,4907.109950163542 4368.00409817878 4594.865459833666 5199.048592113849 4886.633095508452 5075.557426619357 5114.1266237308755 4624.600629774032 5154.157471990134 5175.664413005867 5022.1545881298625 5147.830464687539 5297.378695506325 5144.773155799021 4485.83898948019 4673.501642539936 5257.792354105388 5028.849611958155 5113.4908650540465 5155.027035150235 5196.035441777409 5035.963189391023 4789.7855147571045 5071.131157132671 5216.613170490626 5357.568023673684 5142.254433010559 5259.3678887117985 5155.97289203499 4960.649546631178 4885.843743838653 4621.3333463440395 5138.744146894066 5055.7061036234845 4620.602434796299 5272.270576562148 4707.011663691846 4722.975787134582 4767.321885283496 4658.969721851418
