model,node,inference_time,power
mobilenetv1.tflite,12,185.503,822.3018582271636 572.6861236283069 1822.282741730932 378.3627466515435 81.87132081610856 81.20227823722232 81.73991509389847 493.4822648124053 1658.4190850039665 551.3643298303082 985.6589562569761 1330.5133917758876 84.50926551741718 82.14837842387104 80.87010620960046 80.4811431486584 91.30753925497888 919.6709422518743 2638.9998393508195 2609.1094373296078 1859.3493987734792 748.79616886278 1210.3751143985585 1920.9557033854162 1909.7429576687368 781.3427396381163
mobilenetv1.tflite,13,117.738,1989.0335781627657 1961.1901830582838 503.39111929320507 1634.3086186714577 1060.9875719248757 937.7124956912483 1766.8904892220962 1653.805693538207 786.573189731169 1523.7512867751732 2100.5257561320273 2022.0929213917998 806.3107981276543 83.29419345615969 367.3480906453794 945.165061095362 803.7154659204078
mobilenetv1.tflite,14,143.72,2636.7487432998264 2514.661965241307 1383.612511644629 1807.6081262311634 769.6828029864574 83.34677526809317 841.2469849941342 1482.7008149144235 328.0866982987493 961.1168831880904 1873.456191349409 810.1332324289461 1748.2845470554325 882.3765689379261 83.04485339343918 476.8875964529168 1455.426278784911 2253.036627931022 1197.164222881435 1958.7795258329247 639.0910783323209
mobilenetv1.tflite,15,160.339,566.5533310360063 1862.2046014361804 580.4505616386373 859.6959408227531 1089.7326900789574 90.03585099498319 81.55904638367126 312.76771413368283 866.7861466345564 1060.4039173235942 1623.33405047347 1739.6402650749394 1601.6463604950175 143.52227619289164 933.3063748344698 2019.5820783933182 2001.5768209322996 1687.0104897233664 730.2049216748698 1809.3470823267148 1720.1873395711098 463.9091497959381
mobilenetv1.tflite,16,62.5448,2591.4058191028803 2490.1777190100133 1318.3187827786112 1650.8923441697827 2191.8360884233816 2270.913484014064 2556.4072202567686 1420.74017835158 582.5073230869997
mobilenetv1.tflite,17,148.112,422.5733818098126 1560.6859627076524 2663.5728802236026 842.8627292450791 2870.934612293733 2494.9224227482023 784.592092819127 590.8842917190294 2708.096948713424 728.5546811922692 2145.1377420176996 947.7825558990069 83.72315038464244 83.36449536031992 538.9713577780062 2114.611084020407 653.2261460186469 1106.0042392773664 1381.907100083346 1149.4154741591888
mobilenetv1.tflite,18,106.478,749.2336951950912 2665.7234594410734 762.1488706315944 82.08278910980957 81.85078917368216 665.7014783170019 2491.657988408221 729.9668358954425 1831.455202311199 1008.7081932702038 2098.870865197114 2348.9942134186863 2827.795020641378 1951.5096877012377 736.5999747096226
mobilenetv1.tflite,19,55.3486,1600.9083442775077 1912.9514822809213 2550.5083431160397 920.8673703941588 3002.9828627631637 2962.1995184096168 2875.556400336748 2485.3043739376676 757.0186794214443
mobilenetv1.tflite,20,108.711,400.22297403594285 1894.7033567690312 919.0501480862365 84.4348441657343 81.8445249886944 799.2644827571352 2155.9365547607504 1865.7905060755857 2774.348699837229 3243.9496457353926 1219.3354770672931 2266.0654837341162 2578.1628150439046 1576.1116589688197
mobilenetv1.tflite,21,51.684,3356.5319680304524 3397.434840249701 1524.8018423372196 979.6519363823528 2954.0556470217134 3125.9703852646803 2833.520597230177 283.1486838971133
mobilenetv1.tflite,22,117.647,818.5977841485808 2821.1178280741265 701.6175049993334 830.5240519177909 1858.2129633836128 580.4870113771544 866.8000512162304 3261.432347709615 674.7872087662086 936.84709274022 3316.9216728266006 3285.334287381251 617.552316143206 1030.889490902828 2336.5077484982794 888.1374594643158 520.0814253876792
mobilenetv1.tflite,23,145.267,388.7656851318141 2270.1697958818622 851.2716834966985 883.2848840109868 2362.358453634484 84.53827062097959 83.55117263747331 458.016602684197 2353.8683526014447 652.2169826857221 981.7087263495486 2549.141972426459 410.3835618666179 2476.895865751141 854.524822111077 1610.9430521091854 2233.782874941682 3344.8798109656586 2498.5785134364937
mobilenetv1.tflite,24,37.8376,3470.0552353620265 3665.8691288883047 3616.338094205445 340.3430765824193
mobilenetv1.tflite,25,121.538,2588.0202956592775 85.61780219026406 83.52950365850418 82.36486479301753 82.71027510344058 622.6027066291432 3478.7732013088785 873.5866231043291 2101.3678231479876 813.9748066585936 2222.403640186183 1057.2811503272296 1146.8637489647606 3545.106706192739 1780.0990219485352 1496.523221153879 1152.1413008285926
mobilenetv1.tflite,26,162.438,3063.499309109234 1023.1220507489397 811.5604507652071 3613.9429785348143 1421.881223072248 86.13380402546609 84.42915995283084 737.1747252834505 3404.3167731790713 274.186073251364 757.4387943830184 3617.8691125195032 636.5223438542107 2023.6784082193526 847.4136693296297 83.34314284876025 810.5086540317694 3785.11182219745 525.9433289017002 786.2231856850744 2720.6471107545326 985.2674371858336 831.4125349260296
mobilenetv1.tflite,27,79.6297,1715.3673153333737 4218.600649546459 4115.793165159981 726.3880206164825 589.738564092179 1898.3086188019302 332.42583308611165 973.516842298525 2593.8573387230567 1023.0809783572147 2210.710258205226
mobilenetv1.tflite,28,31.4639,4248.534804436479 4258.422217786756 4094.87900109509 4015.61936923015 832.7685812971165
mobilenetv1.tflite,29,55.1107,773.6667044190128 2171.5970602259126 4299.773773907675 4167.89294265786 823.4197398855391 1916.3195249166122 388.1445630180516
