model,node,inference_time,power
mobilenetv1.tflite,0,257.564,1009.318757863871 81.72243868590154 80.50648575672756 457.8622071810898 1189.9291610254024 562.361557167978 80.38069791148673 795.6160540024093 1410.450625119901 190.51674072528039 81.09152878907243 491.0651588061548 1224.299729535318 887.9621216621499 80.71236227584318 511.8496564248261 1295.7817849607695 901.131017714021 784.4308516880376 1542.9312941819594 1020.57291017169 81.148092304285 81.30317899256879 834.026119088496 813.1574933445835 1203.7398902953366 298.27432567356817 743.1924784226921 1127.3609714526565 82.25525510417046 695.8084762295953 1605.042166467201 422.1053691597387 80.30667559091927 730.9740698580233 1392.6971679568574 230.9983958086044 84.74906615463853 573.4670259488277 1417.8912236907083 553.5742694614258 81.20365413266836 488.4455097456995 1403.22047721528 749.1903368163053 1929.152812867249 1043.4760646829056 81.74423545257834 81.16457277564295 668.3926697882719 1655.2811130756413 292.4791301920215 80.2791942963794 550.3500764272503 1455.6541879956076 518.6897399433608 80.21671709468008 829.7602380620923 1066.2044091927398 81.01502561222478 79.4480501665746 458.2688398037987 1182.0034127496642 262.3533695864592 116.62837022779534 483.07289823950384 2331.041420393438 1570.5712332263347 1234.8266892257896 1434.5234600269716 1201.4072032319195
mobilenetv1.tflite,1,61.7317,1321.6457018391027 1721.6201193839304 2707.0025725113314 1744.9753746038562 1658.2810084219568 1627.9419665007283 1709.5903406473572 1332.8064599855686 1438.3788317400972 1408.6484980610524 1323.3528498751966 1488.7183028248428 1723.8046583452985 1229.6375883168541 1335.123136654602 1516.8429004129473 310.34733986847846
mobilenetv1.tflite,2,161.011,2015.745721514754 2043.724342622774 1801.841046760851 2013.5458490932474 825.5552073598186 1337.5097593686532 1450.3592617464851 716.9142581413169 1406.931782238592 1197.663125668823 1536.34786899651 499.77746093527946 687.369547944309 1441.9039644744814 675.9028100881435 1593.752353204216 1382.8940232866312 680.7750578175417 1767.9713347752004 1398.7573020994028 1219.1811626183328 1718.6344298131016 787.7190416846955 972.7920310503746 1507.0660560141364 446.2504028575041 1867.5150906577371 814.1331028905419 843.2632015935231 1389.300285999837 357.8836528933524 1023.3781916467298 869.2838936664446 84.4042186987088 81.26288296358396 590.2671324127376 1732.4976476496095 644.3677254313916 1350.3399480711405 962.7583717151077 82.71439958747122 273.4127636626206 1256.1368629847884 1474.63919630573 1056.1649027138835
mobilenetv1.tflite,3,136.633,703.284441020573 1319.3225309160407 1244.982449917264 747.2589563196235 1405.3430205695245 1140.7031376897694 1464.9452869723443 550.2283494262575 1298.9132595767865 777.8292389229481 1298.3814326299023 933.4791984222672 1808.2408171029958 1459.0427352060096 1199.8200524589008 1434.670417367849 1126.6858385657174 82.32199894108734 81.02074351897866 992.0543146278076 1323.3899823331828 81.87288252822266 80.28689136764157 226.2849452368502 883.284636576285 894.5189234028263 878.1638890665157 1567.7488324554806 1284.7378473909719 1385.1263645143085 1909.9901115042198 1579.845900504349 1189.037377323455 1906.8772014370581 1697.2761901259248 1510.1710656510331 531.6456635491443 406.67473487904675
mobilenetv1.tflite,4,176.821,399.72098198153395 1228.2391097637615 1424.410808889371 1232.6107765838592 83.19608834975892 81.1110222854222 80.38738749738611 807.7070815828686 1598.511625329333 109.50071356938095 925.8984662037511 1887.0671816307604 1452.578493946534 1328.4637682877803 719.2385885365343 1335.750638351325 1287.7838585259365 1723.0256572609396 518.8439733156948 660.1769470189605 1783.2378691373756 1659.7969094634386 1220.200117023571 2070.9890305970234 1954.234810490597 1375.689540470134 84.25993784608441 155.23708522340763 977.0333258242351 1279.179708173255 300.39050971148464 1079.8320068387907 821.9946082608791 828.0457447123925 1456.1465016687123 82.68181942332912 81.9625425011357 993.5488115520657 1445.920618744292 904.5406466674688 1370.933573404122 1691.8380767564422 1131.4608053348054 1728.1154804311059 1072.630199124087 850.3110678543336 1966.524658648016 565.0147021618677
mobilenetv1.tflite,5,144.754,436.61391723737984 264.0050049775801 81.45948891029379 81.64711576579289 641.7261953636278 1574.7324353117228 645.387624635122 1373.8768220132313 624.0044441371184 1184.243581795224 892.4846022818845 81.51355258664894 80.73170665342661 221.61182692209377 941.0937415861396 961.9824267676292 81.08621060515311 80.67702442699527 80.66215943184278 313.94504343203863 1146.9241083974773 1725.0525391407432 1708.380674003539 1774.8363793543126 2065.705851341079 1879.935895779363 1557.4077963737284 1533.3375353510603 1403.3194840165995 744.9511940685961 1413.3178363801 1295.2050341416682 1181.5726620967212 1134.4881829762082 1258.8864669467887 1303.4349099415724 1129.776975108433 1546.640122836898 338.7500074222357
mobilenetv1.tflite,6,101.167,1566.943943981936 1938.2243319853076 2049.53460613225 1849.5679792214164 1722.261785436822 1894.3431700481242 1281.3838849073234 465.6979019902389 1518.1266538632535 766.5442705338857 1420.5254298176737 879.0396031945552 1394.4994642567306 1461.2282225353624 2232.9891456817795 2007.9430647388372 702.8250182170145 973.2685067265593 1255.5862483966778 466.07052914702984 1520.7084841162168 1879.1032711905289 1968.46519373678 2106.426617500894 953.3491696997687 1015.5097022770714 1493.925360780552 1055.898752022378 584.4341820067975
mobilenetv1.tflite,7,121.103,1740.5118710377517 717.798569862142 1602.784604205048 1209.1904771062716 691.0971786157976 1551.694628542208 1554.1578648995433 1878.1694518944491 1194.0526842614054 1962.8847481131124 1864.9859024418456 1788.0599486424776 1229.122903161887 355.7646036696097 249.12265499753576 1173.2275778017702 1007.083793936155 1237.383040943501 1019.6731362583715 242.26785760604545 1135.4140757670818 1307.4995716718618 918.4452878445837 1427.1704234601607 804.6321063811517 791.2982008770646 1331.7207416521824 1756.6777927761475 1661.8407301091397 2128.72391170874 930.1100422189664 1887.164056169034 1255.431722347548 339.3209981696947
mobilenetv1.tflite,8,130.07,2022.7479225560344 1452.853667738562 778.4725838800294 2061.4054877366784 1757.688599878804 757.1994458499056 1892.1460832029084 1754.0814797528876 695.5630110380181 1514.4468562298816 1632.9925634068225 2090.6446561613134 2793.9163845265207 2166.5183871404433 2030.0341445677193 1441.1252858011212 2069.4990476624334 552.7326161605308 1573.7547527813144 808.2989488348198 1279.3642476527887 1493.70073546797 341.6354213731355 1377.9140946890925 797.8887711178402 930.3752667336947 1307.4106155520453 323.72196999583014 1342.4024513261575 813.8671384009459 588.4961043102516 1870.3301854425786 949.7396512058411 84.12527338573518 694.5067175728749 1270.2757390799134 722.8605307639607
mobilenetv1.tflite,9,173.314,787.4176854606251 1256.392719378815 2041.4496758726102 1452.0280982782253 507.3794308866268 1177.2460430952656 837.3288281759666 1200.0306988882865 1498.200841990879 1780.6515239813732 2130.2244076141906 2242.2838082717526 2174.391729685962 974.7262973957992 83.87611869671335 82.48155374662339 917.0281410626469 1880.3477226500574 940.1927515304146 82.62148494784856 81.85432215080085 951.537104214701 1515.2819730962167 438.07676165254276 1508.001811078238 651.6339392990758 82.12814750491206 450.3629626213788 1272.4819484714321 880.6809598350234 81.64078304641558 81.00013227920145 589.5987766444035 1431.728446720511 374.48324584401905 891.0374904573468 1442.7323414441544 760.6826128268359 1836.4908079704685 1030.9784447230466 1579.484288275659 1876.8197624079007 1490.738773230281 1378.7842398322348 776.0185135146004 1505.2082106434796 1146.7700607642203
