model,node,cpu_freq,gpu_freq,inference_time,power
mobilenetv1.tflite,10,844800,315000000,15.9643,4565.038017117457 4641.06736521267 4743.594174387283 4646.044577938 4676.930137767685 4884.2802872073635 4722.519965994828 4664.872484223957 5187.385212818016 4730.610811602531 4752.346103538689 4773.071217132183 4628.264149147736 4655.1755375302555 4611.45304851971 4671.379790501859 4657.972782061593 4873.534767920043 4902.05998542919 4716.038890064486 4668.272858318724 4631.728831181595 4717.8798005676235 4684.627474497857 4732.483938633119 4942.842679260358 4825.308195991326 4695.794272920664 4682.416936580016 4671.88210177864 4709.098364979062 4717.450907879706 4731.145892687361 4775.491515771658 4728.383906716353 4716.449354268171 4734.932913629334 4724.488687281831 4744.050879801529 4717.1775781557835 4727.745196569113 4670.643224705175 4684.976384778715 4498.4938362164685
mobilenetv1.tflite,11,844800,315000000,17.4152,4524.040010373325 4554.88498805426 4518.579102103322 4550.261690916249 4579.379836726104 4511.515177020576 4616.260780195833 4556.860283629172 4544.484711048221 4520.325169981492 4536.185174229016 4545.296309839596 4571.860529225075 4559.641549445305 4574.937294263806 4548.7956006232025 4509.394217997141 4535.628065310342 4748.115685305807 4564.249242178493 4562.51701667955 4610.129110752647 4573.86315090258 4553.8381050313155 4652.296567940673 4599.359962980185 4613.6147113621455 4535.205640023787 4540.048905634664 4602.240726412276 4579.524599655301 4646.021518701529 4643.019910470229 4547.0325690129475 4705.076547308424 4568.25826294198 4606.639647917727 4614.495733021332 4628.889147274154 4599.471782276691 4572.53896179256 4578.061035074241 4560.356673752086 4627.951664082979 4546.782661528628 4799.912641726799 4629.995254444863 3786.146578731704
mobilenetv1.tflite,12,844800,315000000,17.8455,4257.4988946822 4556.33585247078 4466.811962257801 4424.936682712082 4540.2266012190885 4500.724198989351 4462.1312086435055 4478.451976458893 4426.343043571929 4471.101821758976 4518.538787406714 4476.811964429021 4510.240819332044 4537.804703980608 4513.445015369349 4480.835585901565 4488.952179603389 4581.577814770462 4611.46999937085 4526.688225561637 4522.6652371857535 4507.074219407308 4528.485936510783 4504.439850135761 4424.393549022437 4506.622770193319 4504.681470232414 4754.883725308879 5086.407904546576 5000.060547799925 5088.9324000669885 4562.926930575743 4932.20925206937 4485.273022001388 4473.709612768838 4520.282729120414 4506.757696151537 4545.053690475164 4556.352610191376 4518.516267438761 4557.699489189153 4562.772960436571 4601.049196826273 4472.748692130203 4497.320216248508 4569.322106196123 4532.377891339817 4538.739329879239 4518.77464351867
mobilenetv1.tflite,13,844800,315000000,18.9125,4440.880742605814 4419.005686529913 4394.537264570522 4595.912645069298 4490.105055143296 4502.030935603999 4517.739208339376 4651.2044059196305 4533.08217013832 4512.3885938838475 4740.434166295816 4485.708246489178 4508.192900343819 4432.516418918478 4529.382491736388 4674.262986667698 4504.853661541614 4538.587150536482 4442.95213094408 4487.035043235321 4497.861020235826 4508.564376236057 4535.9096844562455 4552.020332811688 4521.076380417689 4458.746801670424 4530.552063369783 4549.052578587237 4703.371353828321 4500.399800329155 4511.526759452016 4493.682252749468 4503.196186868209 4518.155691067715 4511.1943338504 4633.638906125003 4490.33241315428 4578.196174086226 4513.223224887783 4480.011121355769 4560.517136050535 4531.00262135457 4630.825916591917 4531.515470954275 4535.8364255750375 4579.960978830899 4507.104833463973 4485.610179358454 4559.540770763641 4512.373477713782 4598.3806498938675 4003.9197960602874
mobilenetv1.tflite,14,844800,315000000,19.4761,4360.296964411522 4433.2628694393425 5149.316336862498 4386.133947602009 4342.981452818516 4393.039003720557 4572.628855690753 4691.1357693838 4621.411183244113 4500.044080563037 4501.770735668622 4431.963097218326 4455.433971311621 4464.30177387252 4499.571890940694 4460.332413248721 4444.198220182139 4463.9700075654855 4524.572051298341 4479.001784030336 4450.137080479774 4501.595692892912 4669.082564420078 4455.740335913477 4507.976072010321 4432.925178294931 4405.151992382075 4462.644982180455 4491.366865922484 4600.060237737571 4494.53323005986 4701.942968043171 4518.245162781887 4475.179488858171 4498.877874047208 4461.704625573236 4440.061162820232 4521.944002190432 4520.568079048734 4529.6922946766035 4664.8478114462205 4448.238164413146 4498.830988192744 4647.826372914316 4477.293892300072 4512.7825616404825 4449.525056837574 4588.821176701529 4424.171945094633 4462.782545171159 4458.059197421876 4558.816190378442 4475.021398559718 1500.2118393216374
mobilenetv1.tflite,15,844800,315000000,21.1901,4178.962195873737 4106.792628687134 4243.599142066664 4165.266346949108 4120.711958661836 4151.140862072953 4376.408506400033 4436.845286913744 4385.098557297329 4316.742988413557 4414.715994709608 4388.932697094469 4312.949934143897 4630.384532192116 4387.186321953504 4348.225839253056 4404.097430104786 4391.069621779888 4410.524667662209 4502.14062343153 4370.328072255536 4409.2704315239325 4420.870207585632 4403.263087663708 4420.016870625071 4428.199743541159 4399.22242929974 4718.108126127507 4477.900965361063 4389.319316883027 4471.817614941345 4325.4978257506555 4339.162296512809 4534.381075932937 4397.9062763396805 4371.498617438553 4442.829378829601 4348.07383318175 4379.8706452249 4452.975081158161 4415.584117310177 4705.74753427273 4435.8172568883865 4405.955135236657 4412.758909083282 4389.236980618519 4457.350807803577 4349.172353760741 4364.524455306668 4554.002944456507 4577.666764894793 4390.992865633093 4747.4096881086025 4437.230244450056 4431.356782290907 4443.299630401384 4406.1913123835775 3814.8900418434005
mobilenetv1.tflite,16,844800,315000000,21.5878,4247.414753528934 4305.645011179381 4263.986581809918 4247.046781925141 4247.286382092572 4425.4787874427975 4365.458238424492 4350.041557053464 4334.922866810901 4349.997138867282 4286.928368956524 4348.683311171455 4301.700176079759 4329.784862351959 4310.029539857765 4336.850836456659 4385.648854720696 4294.377075524521 4303.526258404143 4349.727952123545 4289.464892970989 4357.759876005923 5009.985517934972 4328.386145727323 4347.4559302234275 4393.271516160204 4435.133712364273 4363.564153811346 4345.890587436847 4389.253599578303 4384.160367813339 4383.6185026880485 4323.277014067691 4337.672942233273 4322.3317500532185 4284.879821030265 4333.474216655407 4353.700336457689 4378.835307408356 4381.3642306657175 4339.665291676752 4325.1059172291625 4276.031621310742 4326.623511778253 4384.370164618035 4346.781802891148 4461.014935786467 4341.592511817881 4321.198545706756 4371.3934111640165 4392.750953549818 4300.802157835594 4336.149076253869 4360.072376484928 4419.3488088062195 4352.294110646324 4425.42376626626 4412.514812955263 4347.094144234204
mobilenetv1.tflite,17,844800,315000000,23.1323,4103.75511408386 4266.116946598248 4294.837077187253 4364.729254204242 4227.22838959159 4207.13537272498 4270.94803254335 4218.576451220146 4054.6446721839243 4007.842640903877 4234.455750047636 4222.5998851392615 4216.342421865599 3861.43771724304 4038.129401430547 4270.059276273163 4199.367003959122 4391.131017025226 3992.1961153854622 4226.036967121884 4123.021398227946 4212.32488413381 3998.579905052434 4422.598986320617 4303.363914622355 4362.001075139217 4282.939268956638 4234.202027789805 4363.082687711095 4294.892489211538 4263.341792525003 4244.812719522048 4258.520775322596 4272.359220641612 4834.727399586566 4156.37298175478 4332.624179229302 4246.628878616883 4236.611050275395 4251.628949454013 4302.624083479286 4256.181289813392 4358.258331524068 4269.322157685851 4352.906194580546 4362.129589716775 4306.440511464579 4379.9047612386175 4289.948876680745 4310.710984959776 4400.332215655868 4345.456823108178 4536.3597802888435 4325.36548652523 4324.886365190911 4334.850808175622 4496.797641040023 4375.076495321968 4409.914288517514 4310.359151811206 4373.922895806987 4324.160654429661 4315.113110027346 1534.222165090181
mobilenetv1.tflite,18,844800,315000000,23.8279,4050.138694797742 4243.654722311417 4135.553092336529 4449.180172142785 4246.898756221839 4263.7933052632225 4183.982267720349 4213.794275292145 4216.004452117579 4261.542898096266 4343.401839184699 4356.57160947205 4261.267345630252 4243.333173675902 4204.483890018686 4275.773368105265 4271.524599705082 4257.920549248962 4246.544994920841 4280.446058074856 4229.954463177106 4229.0227895546805 4263.993846821011 4280.220313834457 4284.148247428679 4276.065936849487 4225.929377129443 4252.515045281478 4210.917343737172 4277.1568827884075 4218.569296362208 4295.387805661992 4284.929316302963 4265.584240687599 4293.0251682286735 4228.669003971354 4230.760632684852 4269.02848230676 4298.822100652298 4319.9423915189955 4204.902604619459 4340.457256859489 4291.710059404394 4415.707213424211 4280.032167808757 4254.103970010953 4289.424171180905 4235.808661857641 4280.422137363272 4248.451316180531 4260.727602181134 4241.779357919755 4586.598059256539 4259.058106291882 4276.649997139068 4211.4207696960975 4282.165639953804 4284.166322483753 4299.197942600302 4267.31204972233 4237.31518732502 4295.084719759513 4239.339994323386 4295.782152252283 4262.193203938966
mobilenetv1.tflite,19,844800,315000000,25.3479,4153.059819358239 4154.945472243116 4233.106167461296 4251.696021130159 4224.721945562174 4300.6526842149215 4252.35777599058 4211.097637069869 4427.1259125296965 4295.612969455169 4267.867414769895 4242.630682192658 4242.286839366732 4260.385500478076 4249.358229615419 4314.34926147116 4256.250775087809 4315.82262644886 4237.707248319873 4244.50746216728 4220.264978904518 4294.058055242054 4230.174359315273 4231.6285966095875 4271.535829811674 4274.675874451694 4267.804567181118 4291.37389889101 4240.8578185775505 4283.780313133822 4242.355546911475 4230.095211612178 4268.825955325896 4284.682787069166 4285.19073807952 4261.533291948187 4251.108690382493 4456.327353514389 4408.927895794072 4231.7201543065585 4601.069192418148 5398.589143655468 5166.34973194991 4396.938335593331 4409.3833378837235 4298.285740999538 4353.51447036859 4379.123321744815 4309.873357197803 4291.539688538178 4274.984467504348 4269.605983495866 4295.481831363069 4291.095357375037 4342.711561685239 4372.670120449182 4310.736677302991 4508.826652198937 4204.521247346636 4339.24101960247 4251.619361613286 4254.61736531701 4298.657270542622 4226.94789936416 4333.754018638175 4308.582800129874 4594.2477887302675 4325.319282537473 4304.061680667224
mobilenetv1.tflite,20,844800,315000000,25.944,4151.750319169353 4250.7130055535135 4193.444575653451 4208.478927143195 4259.415930999141 4374.354840652984 4187.749078707003 4155.762983796749 4232.516011994077 4233.961007174545 4343.449620005152 4415.089250582078 4374.398722832539 4292.230377477435 4259.411378451155 4223.107755877862 4253.629670580443 4259.804738346151 4234.897078807134 4231.050104498545 4263.140415511338 4267.840223332877 4223.7253569485065 4246.13045519118 4234.4004718374035 4198.462458769885 4227.644731730552 4230.605532301984 4196.42640129194 4228.367469829537 4215.9272354215655 4264.1298227566 4243.299583433092 4246.894477536731 4329.924764572423 4264.892517757733 4276.56762864725 4371.142420316628 4283.614059073242 4342.907806238327 4294.528698177897 4177.149989418241 4226.029426437083 4244.502899142255 4239.37501258645 4227.7412522901195 4230.295128737499 4206.282276010053 4227.929403301311 4474.711454914033 4272.375548130182 4279.202006939619 4452.567092475989 4246.084461086515 4273.062116232945 4229.340982038868 4201.402556260734 4035.770273962171 4242.997516085211 4472.188915661731 4197.727155756233 4201.028730532398 4202.729856489981 4318.596945325724 4268.722343973147 4339.253036538008 4279.93281787173 4240.2661063499045 4183.373820327305 4225.579993027893 3595.908349847056
