model,node,inference_time,power
mobilenetv1.tflite,0,230.721,636.7519549359926 1609.2584954968374 881.6703812189097 717.4447101801449 841.1416981337444 1431.9677708041888 419.4528446302669 81.7751422447804 481.7174673140295 1154.5892570410422 686.3910806935656 80.5932410173936 452.71056250869077 1200.5365060197587 741.2979880527985 80.4576047545312 667.7544808688848 1493.4445737804995 332.2615225837589 270.3423627960166 942.5091301317311 760.940711737174 80.46901603380306 720.4299529812806 1558.4800268454007 2691.7622907865243 2718.651699853612 2637.4310504428413 1928.6465881499919 1372.7384065694648 786.1451764983391 1410.124945372999 767.6995228673375 82.43922013876141 559.9252901349298 1521.1729825769225 549.4288648196357 80.90434891583654 808.2146668318308 1511.249819565942 190.83147341551663 81.79911016648587 465.1066510900795 1196.809368617864 1151.5177024933168 81.59660579101102 538.5336723546187 1381.6353625017325 481.2747705282064 81.11397264175866 552.3825699528169 1057.6835162306995 1063.7992506578162 82.03660867352943 341.9130124046612 936.1081401639079 804.1521858727891 80.72593288325317 764.8734782004723 1523.4918858724636 303.3740045606041 80.34238866194337 531.3744883723235 2106.28259805393 900.9485608490986 1967.939102925053 1631.5972618309377 1433.568218892515 1189.9470595810837 81.88623777649869 871.9962722615346 1329.357850838422 89.95249431294302 80.91527164749962 674.6514317158968 1782.5915499635023 202.82504987669313 80.79688627388067 790.0542262479219 1330.285046359942 587.6997137344584 80.73745992775139 447.74654426330767 1189.0932326335894 930.0009958178592 81.0436007226502 744.2048077299596 1460.243844646687 316.5155141848666 81.30381391672444 770.5135334693751 1346.9227790717948 1485.6215903389145 704.2558686449303
mobilenetv1.tflite,1,155.846,948.6548300963327 1131.543297566787 1598.0086341364374 1462.5975966586814 1255.7721579531894 1396.049418633547 1351.2677189482374 1329.8116829862242 1391.9178112977586 1438.1868268960127 1299.5196180059565 929.0068358157591 83.00037878081704 775.5099401511759 1624.6133558854935 779.3574473967258 1212.947280503627 1023.4774643920797 974.4457910735941 1360.9931553468457 1606.9155264903209 1670.6439878300878 1580.2420017233624 1866.250111330046 779.6622892911381 980.9522763651642 1690.9491874077091 569.2565237597963 1198.0030115101097 807.721647256318 803.3035510782219 1631.489789198622 600.3847459584683 710.7881116829155 1612.7579554552158 664.080556136237 1391.8565893463085 993.8717040837986 82.90322101372658 81.83087436413211 756.7637878916486 1622.8476391699066 1615.8125121883602 1128.099775686055 82.18753871497721 223.78119626381687 1375.4987994548367 913.3823514192795 82.3132887453276 275.86305635500975 1040.8507979202195 844.9241828425887 1113.6992540837061 1290.613100739553 609.6706735202844 773.4567431744982 1324.5534299428102 411.290135311731 1172.550628567145 824.4341496233163 1672.814705193863 486.24536857529813 852.789023642118 1302.1758886472498 1035.5329471207724
mobilenetv1.tflite,2,184.804,1890.8305588815592 810.0318927716992 81.17859822043006 81.32523839186695 80.1598502171651 364.83382054243305 1351.882606571909 618.0935073264202 81.30847075601658 80.2578508871271 153.08860106139537 900.5701761444225 1855.5946279235932 1579.9544079589625 875.0717694943827 1791.2306172367903 1007.2909646315123 845.3288370291548 1473.3564965207306 1319.187260498418 835.4337383185655 1092.9767885837473 1276.78395436927 1408.6105660786818 1436.2581203551283 1341.9124010613825 1016.0779997950209 82.56781761577994 98.30170483306445 917.1944485904003 1612.9898274857733 783.3026801404037 689.7331017894852 1672.8983736864056 1747.063115653302 769.3290862492353 788.271260457453 1805.7344970943636 701.2242671764017 1001.0071544941788 1743.0217829365442 1442.524125124327 725.4260538547765 1060.9635664891398 1709.306978167707 823.3474227997866 517.9332661182486 1529.531111622374 1725.7131711825687 921.2964340003259 113.00028910525815 249.5754259526216 1602.0205070548961 1015.816522625026 1399.430635317998 1786.7188141449346 1216.6665818625681 696.6465181355422 81.3798670397608 499.89487059647723 1609.4459654077648 658.4545082267651 973.2275298185416 972.7039579926893 83.4506591621692 84.16777810035498 912.7554944107582 1660.131554864489 690.2997804466282 569.4043621849762 2179.10793953072 1409.3266276204838 83.34956090877183 81.26237230545375 830.721291292295 792.2165333687516
mobilenetv1.tflite,3,111.263,1433.2537808783861 713.3083281891777 474.2487072229893 1274.1479755575683 801.9563032251299 880.4006015484931 1480.070193017215 1203.3217710885226 2511.688012850575 2789.753505415077 1440.9568862345973 1324.6196996041704 1249.0643948294944 1231.2367829890052 1353.1936924392237 1524.9568553869735 1220.2367515033554 1196.853500021797 1289.8235034877882 1378.590195285906 499.1893812438403 941.382418487801 1703.4529831785144 1765.1319502417284 1268.8415451564774 1106.0997196888877 1714.9284639695118 1886.9823168459457 1802.75550934433 1394.5447595119128 889.8765614074158 83.53187654940267 837.8098717636391 776.2983351237289 1165.1899954322475 1267.621070965318 1217.4890950147894 1277.4554214155448 1258.7566040527208 1456.2007819205235 815.4985408074297 1014.9623853007763 1305.2936910417218 1083.5884115860893 1713.9675620735468 772.8433673180289 566.7729362144773
mobilenetv1.tflite,4,190.049,419.6758737874625 920.03145855798 857.5871292987517 82.43561172478145 81.48891191685891 81.20099995281316 717.7675780035437 1826.1459112938421 504.1155043113687 1932.5883794345038 769.1435884002121 1681.6094603039232 1727.591643198469 1586.0392354077828 2170.7784497447506 2749.85668152826 2813.503995173854 2769.5203023782515 973.0146625752132 86.08700285477778 231.51241567279305 1109.8012696959145 907.0932517971866 82.79933844558013 86.58829175027384 892.3795109832986 1260.3232846158573 523.663171625374 1773.6448905932027 545.5401706431147 976.9653266083012 1093.127631801374 82.48288771072232 81.71940914902929 271.1741194689955 1096.6624775988935 806.0654099906593 926.7336377527795 1247.7908455390334 1023.97876308192 1511.095272873408 1289.195132616603 1989.7372599348305 1741.189384273483 847.3451184591422 84.13218519009231 83.3543845376132 890.5567629996831 1447.0179386618067 903.4691995110438 82.95928526378805 89.4515953001142 750.889584658628 1479.2800122896724 587.5609482587561 1423.6399184983748 667.5959818252953 1298.6255994437695 728.6524826725476 510.87149180028047 1412.7121504836302 717.6153825552606 1183.481808475889 1018.2661119250448 1356.7007539601766 1740.3837199482962 1947.6606264634827 1830.0078764010036 1329.9953862155678 1721.312691890547 820.3957765846862 954.8731819907504 1267.8997268099997 298.11479970560464 881.8566484736324 1738.0626599394964 668.6227423861993
mobilenetv1.tflite,5,77.8195,1321.4032925287281 958.2376063374883 1345.257556367453 2217.5115999803534 1555.5253238179491 1194.806287254272 1245.8040720978286 1250.232876527679 1274.3218165192661 1208.7763732452895 1547.8090806266919 1961.6571271473185 1269.164351891126 1139.1664686543486 1326.7978525148678 1694.3084681909027 1915.9910735039748 1727.8262243002646 1895.192001202645 1863.978119068287 1427.7808245710737 1166.126616952964 1267.3472154322606 1268.434349294785 1039.6803489948982 830.0694844118681 1946.7224530669293 1577.3854235040728 1203.0414745543917 1375.2569650752032 1254.9698101077158 1006.0826629384186 805.4912597655142
mobilenetv1.tflite,6,112.684,2005.6608334409805 1816.125453215901 1007.5158125959406 162.04572910081257 1106.673207041943 1744.040539008179 777.7480545178548 507.45107583382105 1599.3368289384164 523.4672226248329 766.1650443046632 1670.35042235278 626.9202571135737 1364.1043127158252 730.4983175805747 1350.743989450824 1647.3640997197388 1982.8090413136358 1792.185299500432 1859.6395588352113 1575.0126067816468 1755.2276722665674 1352.5336739340278 716.2192660534297 1325.510665872348 1039.0707694473683 1169.3899388033747 1298.9637020100804 1206.533425774386 1004.7740973117461 1223.7862054987818 1171.6667439307062 1246.0970948487438 1254.638615597204 1172.8983899899379 1867.6820841449903 980.4230140916349 949.0328793032714 1485.664028354161 2005.3076816028092 1155.9802536239558 1183.540476555711 1232.7132610385086 1182.9034764151581 1119.5404117543965 1189.0908289731767 327.5543080703949
mobilenetv1.tflite,7,101.433,1976.1698071641015 803.1411233626234 993.7680528888087 1268.1797124718223 751.9509917519874 1323.9442536582005 1591.5635830991268 1506.9519629598492 1109.2475610495483 518.8689278142591 1736.5087525846443 2129.451864197872 1538.7151654019983 790.1724412975195 1207.9196961111834 1514.8130907490522 1889.256037898001 1392.8758643161596 1557.4453833366076 1578.1426679598596 1626.6701585289238 1153.0633438635018 1337.674398031809 1103.6745282217178 1643.8597636160514 1195.6050656958628 764.590083849628 83.77309018372382 817.8193793106439 1889.1027610870467 1645.1544108743483 2055.5362395723882 1740.5157264117236 1707.6979753270139 731.2036570981803 1545.520530115886 1190.8529885432677 1235.6890214069906 869.0219043186472 1056.1725817361018 1520.4997132422995 332.50776964898375
mobilenetv1.tflite,8,88.3512,1524.5071826347141 902.0443012946286 1332.0365266757221 1358.8284660972186 733.519501078497 1354.4099946717763 1497.2454734312066 1497.2758184254112 1829.700001185108 1617.1352008620895 1687.3016551600144 1938.3175599377942 2044.625537928519 2192.904237091106 1309.5264750110432 1740.4775248861722 1300.8089673495328 1252.9256018731646 1405.9021178212527 1246.454592819829 793.7820676859233 1326.6821036432336 1159.1735336538993 1239.8642851638526 1105.6453428319323 1316.205920458126 1289.626143141437 1096.5608988137385 83.01137716836175 815.9732405392259 1810.4398163186356 1171.1937321950447 1432.9731608575228 1583.8771213538662 1867.2995964208528 1238.3818584178882 371.2395938073608
mobilenetv1.tflite,9,104.876,467.03267005394616 1527.277573878499 722.6436652057349 2111.645291968885 2156.6821367661355 2164.960371489342 1163.9266262320664 759.3163099216026 834.3686711198372 1794.9385142819172 1391.1803107250053 1634.4684302430708 1114.247142214343 1319.5856190616787 1318.0147390177585 1196.3271435736904 802.0660891128432 505.3332252598636 1616.6860395549813 790.4331849846814 1343.3078440761356 1802.1819000023563 2148.965494523237 1111.9005910012436 1964.2105088004337 1044.33365252004 391.54264943433816 973.3573810954078 1948.969412068585 2051.7165192697107 1577.0744667823933 785.4051391337351 1977.8059035026868 1271.9764008947327 1684.384904603489 1113.835087166881 1045.5843543374585 1257.8190316644261 1774.2430772305609 2010.926898377733 1009.6021298678563
