model,node,inference_time,power
mobilenetv1.tflite,10,18.0555,3684.3089412855707 3624.6437585009567 3488.407905535002 3591.151284321075 3610.002429404508 3770.8015598922425 3661.5786547255675 3623.058679010944 3665.105455855184 3664.193219320092 3678.045517580272 3675.301626653537 3645.0744071289805 4770.532080220403 3591.9524146504377 3689.1077802628806 3554.705372108152 3940.016733473272 4098.964817813632 3590.3690333956583 3659.677369084378 3790.1006157874567 4103.981959157295 3795.662953365087 3551.983588381528 3575.330332903695 3608.781637862445 3575.9119674115013 3715.133700300796 3717.44889984443 3598.2436822381765 3464.268748313508 3483.899169633721 3547.5789330270445 3705.830854724395 3689.117686023205 3497.749028269728 3649.782772853549 3611.839129403246 3743.29418513924 3680.707335912591 3582.817838851447 3710.5487919454067 3540.845186170232 3574.520351197688 4256.624300595123 3764.331826085935 3763.005757267477 3702.72630429648 1193.7058429422743
mobilenetv1.tflite,11,19.4494,3919.9812027366806 3449.6665079556305 3236.8816963190675 3290.2263943533344 3639.42055900145 3445.1849748664754 3694.019190611073 3421.1350000360044 3487.5973163672948 3456.5520190088405 3439.5199165811664 3431.945220538583 3423.046963883265 3403.9485716084155 3432.2575250924547 3490.011639153139 3605.9533827716964 3719.0519292658732 3681.841909287966 4864.128743728327 3547.2590909114715 3448.52538941477 3977.7813427218275 3692.721497809242 3667.6221855700987 3434.732403732975 3568.716537813695 3460.0519342680805 3683.9345605968265 3440.415012678746 3463.8284500213044 3672.840300273066 3638.547938599475 3983.198347439809 4024.1091466894527 3509.3466470458125 3474.2177395217477 3480.9512201383745 3933.5883005990254 4263.913610073695 3438.8218089319116 3421.277542607549 3512.6084459511353 3457.425778279975 3528.3425474503606 3444.971575948837 3721.7627134228096 3616.905065505261 3506.4717347495553 3461.5575637472098 3562.959742827569 3551.508939403345 3513.337161833424 2148.4747581835295
mobilenetv1.tflite,12,18.7444,4334.504849831676 3204.399500655444 3397.0985433295823 3418.5756683996237 3402.24487983026 3410.453883612355 3400.326739806917 3478.369986864501 3599.9347776554973 3790.062091401183 3443.2854097647573 3460.227791668805 6595.433746878535 5772.717147106083 3813.436093626791 3829.5499949550917 3870.924178840189 3838.7079735002853 3702.268906375496 3495.537909917191 3447.6919994323093 3672.948721730071 3448.679184165923 3511.4724807877897 3822.5193019945427 3515.468495436786 3847.456299887785 3796.882860476253 3954.9703470407076 3683.0691925699925 3434.3579906751493 3609.656330704746 3512.799635684372 3602.477136194528 3542.8269929146104 3980.8675076543755 3498.77153024339 3423.468244766955 3471.4045940568535 3606.7846647945416 3760.7053399913048 3599.324277603088 3561.29922879978 3432.958889497745 3489.488598061808 3507.6249213419333 3411.4265107871493 3611.1682390591736 3450.6494872362196 3558.321975020501 3471.6478922966667 1487.1881878205013
mobilenetv1.tflite,13,19.5451,3677.4315674860823 3512.8911435007767 3498.635161784954 3463.796941172117 3656.550411373253 3560.2648084928724 3373.4211323584595 3461.2128899853883 3542.2771120962275 4215.361235680625 3638.176956817123 3749.742461591685 3492.003913809383 3680.449904343524 3611.2776585765732 3544.07620584778 3526.7171061950935 3451.9265878316623 3712.469682017313 3405.4204715957376 3650.2504395141227 3632.297191470079 3889.115981445055 3537.8140182055336 3451.4617295117396 3702.427609957947 3628.288247128271 3582.347251007318 3651.7074034311768 3516.3289329925506 3606.7810420855953 3646.0504099147925 3529.644354650154 3721.245388432783 3523.069682717631 3590.305863493916 3534.77472604685 3740.1881887917075 3340.9584580309183 3662.5492937482645 3653.4893431675705 4050.2569760803826 3496.1319119534537 3540.8682499121587 4104.0338021601365 3419.099916241971 3539.030871837831 3552.9116197775734 3502.1721090083515 3903.839644784769 3580.368882119844 3591.9247959537934 3512.873306739228 2465.0175541390613
mobilenetv1.tflite,14,19.4512,3312.3045124799787 3285.4500394195293 3373.5217311521274 3378.3060975500284 3404.400768324996 3400.5073162046756 3436.5284368130106 3945.7334046695005 3441.135108460898 3511.531226853309 3566.354268663829 3681.438871482557 3592.186079694983 3487.140345067819 3652.8892888410533 3401.4029424599375 3670.644852646693 3662.1516558145963 3983.1122964563806 3659.2134965693267 3443.9174628405917 3595.7649301222964 3492.2151163554217 3515.55693767859 3583.5782697372306 3589.445755342932 3509.2756706886576 4802.676950116402 3555.329742927957 4139.189509717821 3604.563206080596 4148.616314233509 3890.8813951987 3852.0264639234056 3734.555101432366 3632.226775292329 3345.265589574939 3685.0197355797586 3540.2870084221113 3647.160218248608 4017.1941684301173 4065.7839360338853 3559.763728822042 3528.5011783682944 3680.548416655527 3532.6683620312724 3829.7119765638736 3536.131621425228 3494.8740104374756 3504.048378664295 4384.657049521848 3882.995459015618 3895.108961139555 1213.7641474970092
mobilenetv1.tflite,15,19.6207,3731.377137597071 3775.028824575771 4039.5058938081684 4280.9652683345585 3786.5286904156137 3809.9241198315262 3910.6620735246183 4362.623745193417 4289.13813347915 4050.445990477572 4305.115647690928 4353.397829130698 4375.78080829695 4236.733626176325 4121.063970176657 3893.6925545437384 4230.97639816767 4505.268360786818 4330.622131113715 4178.36541091193 4437.4049795811 4195.706641837794 4284.7254591055935 4098.700396692356 4142.456713404849 4187.7683526508345 4157.734955910927 4474.765119551594 3619.8932545031134 4131.819859555968 3745.1232439581154 3747.0203690323137 3850.5281428105604 3861.1834304832178 4402.167911092634 4460.145096160953 4579.859622373507 4615.382873020332 4216.09463939533 4036.9700755929166 4259.871579929567 4017.6709018014035 4223.128110081477 4305.160785660907 4307.469049831435 4164.930992711958 4398.373461302035 4367.663895728416 4454.316098365826 4406.890425132977 4330.366916404449 4204.322706706627 4110.136096918491 3218.6736051546072
mobilenetv1.tflite,16,17.9649,3800.2874474224345 3720.2369936316504 3772.525425825897 3787.692877121727 3708.0497291797833 3820.089872446499 3697.410650736463 3973.5593028357603 3733.2736952632426 3674.3158897235858 3746.9139321200905 3683.0177541556377 3653.8712145312743 3669.389626375493 3766.412610759213 3678.878892319076 3692.9205669709927 3705.671443797504 3712.9103122365304 3777.1060796824027 3836.830906798278 3677.8179957857205 3687.728349439044 3615.4955310540568 3828.835694330112 3654.2427704059323 3675.31062332196 3765.6480676553056 3787.0348663954 3683.6637937990345 3672.286753019462 3971.60909529192 3891.570331304357 3808.8717996261785 4127.034651831552 3954.719949548917 4011.91113124108 3970.358436082459 3613.481551345215 3703.6791053483144 3595.8156902680953 3954.3704178555495 3771.518867180464 3934.8842015868113 4422.914563133792 4229.545662000194 4213.025575114766 4118.567265619639 2819.967976919351
mobilenetv1.tflite,17,18.1653,4332.694223098396 4345.157709282494 4584.701662737189 4102.654265066883 3902.9106194404567 3984.018130934809 4328.339961634645 4288.168067942463 4465.990955552638 4314.566990304182 4408.043967064725 4296.665285818257 4375.719197246593 4379.21667127459 4422.668753297603 4334.040184042883 4500.526086937808 4410.696621572864 4446.343022597899 4445.6656490408695 4437.9220427246555 4285.364726782813 4429.488017237904 4355.376249406911 4061.496512328321 4031.9975623440787 3958.277176842702 3914.868012690608 4052.9580967245574 3944.9467843694733 4089.719148232442 3875.1602650356986 4037.2115720599945 3876.7712857000834 3950.9562116732754 4346.3464076319015 4298.9961967749305 4481.446438437391 4560.886950832344 4438.623567037816 4562.15077785482 4166.50414256451 4067.3617032008583 4155.790004384835 4176.412357802557 3944.9702390264806 4274.0732963498 4079.4067436099967 3837.1713439006367 3934.492468870807
mobilenetv1.tflite,18,17.5723,3782.4295629007843 4114.705419630095 5090.490343563509 4041.3701719382466 4103.362803913988 4132.242239646843 3986.1252178924433 4173.82983669209 3854.9302874756813 4340.2390096100025 3877.568050244565 3885.991776306579 4006.7275910135027 4027.7568361312656 4312.769578991305 4013.4331859952285 3582.21523739408 3524.782227616456 3866.5109877039067 3781.3748041824847 4994.93755357451 4579.60411362471 4545.211095810316 4449.6695696698935 4300.070330249187 4361.732701154401 4206.949612574117 4389.433787602991 4379.041706645983 4126.1860800755085 3902.945853636149 3832.162633724452 4494.419726403707 4364.381893076147 4417.183133414665 4283.528597372358 4371.367108637359 4706.276383468478 4261.939597197499 4151.83845576083 4003.1520925522677 3869.1869171593 4117.3914625155785 3964.6935161880115 4153.93921083039 4459.6998724205105 4456.538449526039 4164.097910304688 1580.2756049179925
mobilenetv1.tflite,19,15.8165,4391.245934702087 4687.030564409494 4721.072822742517 4956.559683667782 4455.030464695253 4559.324672270951 4814.466251656959 4917.7256046229995 5171.874794525721 5197.230864597583 4863.284497286158 4937.184905938889 4911.360177841968 4595.802829560354 4628.3712318780235 4432.528013708579 4655.819295686059 4752.147403179381 4328.23462492416 4518.208797311886 4575.905848147664 4452.906304683786 4431.394597261013 4643.150794081995 4866.242106151689 4993.257475438969 5098.552965943777 5016.536514922159 5167.408573623549 5314.259267600046 4973.812234593894 5024.739823612126 5099.863635395443 5101.3655380016535 4983.174079134313 4623.23348643279 5142.136540159263 5131.273711978238 5191.23608743183 5167.070653745098 5245.831292265808 4430.540512814211 5080.491220897269 2142.3957964733604
mobilenetv1.tflite,20,15.0471,4455.395005693326 4299.566581378736 4401.395409044132 4563.860691769914 4509.252109180911 4512.452132916015 4514.616379178227 4625.185698998278 4543.831558978222 4601.0230443934615 4613.265766513459 4557.909776030989 4524.911950222063 4536.110973208853 4521.961075318671 4561.350341947473 4567.282814168502 4600.646539193142 4633.483729340284 4620.6930990296205 4546.166315728899 4580.815462510738 5119.267598125042 4466.489153523609 5225.151496942861 5310.372367543482 5273.959613169493 5019.917296021763 5152.216581901902 5218.479568944611 5063.386280263127 5096.374941312774 5116.0667685343005 5005.799527230007 5054.894410908428 5010.016456121893 5234.700653535681 5260.679259984004 5083.574292631437 5147.933574098457 5154.111063921118
mobilenetv1.tflite,21,15.0507,5053.798791927752 5148.310408871368 4593.246638327143 5263.552904578398 5132.995524721451 5079.241803105303 4948.654863510431 5400.964641323988 5011.384077745923 5244.176817934295 4951.693536773009 5146.890624070897 5243.756682335025 5364.195884820356 5362.073164157124 5155.465211463734 5471.245048209826 5231.627546655557 4992.130895692042 5121.350075433209 5078.643826584635 5336.138106794658 5255.798379368116 5012.6178382584785 5044.869183124562 5296.05832549072 5232.964793038246 5242.262977561851 5116.779705884059 5266.98833433101 5353.740037367909 5098.045775807796 5350.023156247449 5270.188419507544 4905.527595181108 5361.65235589978 5210.756868993794 4934.974088415756 5414.210867676809 5151.020920263132 5327.6218149484885 2632.876882725032
mobilenetv1.tflite,22,14.7552,4680.582727618653 4731.450083732812 5204.943621522738 5217.5443216797285 5264.254815097164 5201.581745411803 5290.580612803949 5136.1006248386875 5302.595705780769 5151.789216760603 5124.614336767079 4903.164680975212 4823.939243851908 4923.912994870234 4545.612420479265 5241.76286186937 5262.563390676942 5358.0371567781085 5367.513169137595 5275.540116624272 5344.572855078811 5235.833657772178 5375.829927395654 5299.59580119593 5365.088574383026 5286.600228550095 5205.54364454873 5356.42295936994 5282.535304240615 5299.6822169054685 5278.082063749293 5371.706995130323 5197.376169939108 5354.906942934503 5297.513081808352 5003.209087873612 5307.755536602116 5271.341551198024 5370.502514421425 5414.172527642073 1683.214076803292
mobilenetv1.tflite,23,16.4765,4627.293183566402 5406.180862851288 5095.092059859944 5332.534390542382 5253.340562075043 4913.795985180977 5291.261476903089 4990.441405164703 5175.330552899042 4824.371642462811 5233.670755016922 5478.426558837483 5307.878569698911 5202.545055868885 5405.247050387674 5369.658632556627 5331.563671481892 5314.730077974759 5063.82025345603 5136.672294886187 5208.900394263211 5390.350304539892 5229.3196603920205 5666.005370798583 5085.91083633119 6431.1716229605545 7165.623936808096 4920.068536209675 5533.952596107593 5308.4175345415915 5149.024204777854 5376.739026882311 5027.2191116841395 5259.092001783734 5471.377238974578 5139.430353743055 5224.584298048532 5411.296439495441 5068.692067347306 5587.834962237451 5161.961508383993 5416.872405709452 5571.0136359871485 5056.9755724851275 5007.058929167989 1495.0253772568904
mobilenetv1.tflite,24,15.1306,5382.8007238305 5408.219750391043 5424.130271984863 5503.058400106776 5545.729957687681 5360.922914574221 5289.772158975235 5593.405886693183 5617.952999883698 5537.526085063322 5384.031306795293 5593.940367751782 5490.905290909937 5646.696535949882 5569.85171034113 5635.737152874255 5582.822210927219 5575.491082525313 5043.060071857707 5545.575297784769 5544.975656073389 5501.427213445863 5707.845956278093 5456.886950160159 5661.144784314721 5166.735734116604 5593.468870244005 5362.235003598458 5450.859209010781 5586.614270173438 5544.271158360152 5460.7215869047095 5480.790112783475 5356.533800253632 5659.89020902581 5761.616063894618 5364.15650806671 5628.163158961131 5473.645859269254 5607.901162385371 5515.725358102242 3044.803563379855
mobilenetv1.tflite,25,14.7032,5468.445146045498 5482.3265654058305 5598.9192064744175 5842.18922978062 5677.799728326831 5736.873788959528 5764.464629612924 5713.713601723028 5751.036351492492 5880.668289523769 5726.583099281599 5867.550696549213 5806.294857361109 5826.5647518350725 5814.295551823516 5755.888056015551 5752.564550085878 5892.390294459782 5763.534802363435 5659.6875379557805 5683.651411381914 5832.688219851845 5822.757988916717 5815.736312782369 5797.801046957164 5915.0647509764785 5792.018874513519 5804.736522442954 5825.434893264927 5780.26161100395 5684.464819256706 5805.518513361724 5703.607162319865 5898.953903603055 5794.937058277209 5820.051749555136 6097.228810076355 5969.0947168463745 5878.174307646658 5909.466023648073 1376.2470727489801
mobilenetv1.tflite,26,15.8465,5309.261730278193 5495.968935439168 5468.64636290847 5495.215499651074 5336.73240180392 5389.002670255561 5529.878134658767 5527.430089785691 5349.084889375179 5463.693464821967 5326.527800340507 5447.528381582743 5282.541988886567 6285.812571139981 5156.256453854226 5570.091811913993 5362.3600703238635 5556.309310499169 5514.641772119967 5218.610446439957 5070.67222915195 5482.090578640036 5660.0687613772225 5685.201831443868 5634.322874230345 5343.77358447362 5663.470543312867 5578.345876197463 5603.358325331341 5464.897143106331 5300.074512206969 5276.856674667727 5405.94116538741 5440.387699227203 5638.884808031917 5546.652268987873 5513.780398513788 5187.514277210625 5571.620864141731 5677.964339646252 5347.959603890708 5305.745948850704 5477.512029831192 1356.1013243894458
mobilenetv1.tflite,27,16.0722,5555.090975163682 5646.329038380268 5589.261404321901 5735.729416872778 5764.750746270381 5631.50839858681 5646.7707539816765 5697.946733345202 5738.429264925229 5750.396196783466 5687.261799225105 5872.315605033702 5736.159251476293 5621.544728648358 5813.950271076701 5681.797179023999 5649.271877950105 5762.481382810618 5866.867149819456 5688.050320672772 5655.059653276641 5782.918807701174 5799.362785014529 5650.835407668038 5723.311744953089 5756.848889186464 5828.763290289709 5914.67559047915 5679.911419953548 5667.920743177827 5725.189637640265 5733.796115991295 5681.004547702709 5679.684751011195 5553.225418213468 5778.346175275617 5686.47304235258 5698.274707808269 5883.135065397739 5748.053271255522 5781.697927752899 5693.148529902086 5804.333988010543 5690.002552024049
mobilenetv1.tflite,28,16.7252,5615.283626529335 5489.715876763396 5445.958374169166 5529.357949922027 5869.466823752939 5801.393025889063 5229.877736791634 5667.27184297825 5717.253760890932 6120.4500689086135 5732.849250569178 5666.069984117468 5791.031097056233 5638.195756999278 5571.447793439272 5529.688517368927 5857.631560415917 5724.739474644134 5667.046611157949 5609.784908786558 5602.455800882628 5706.791917751072 5623.595625394661 5694.04419025836 5511.830979562424 5718.518147060262 5650.603935201084 5819.475705246315 5768.35454123682 5662.980406116509 5556.657127150716 5512.553836787321 5778.860765645217 5639.582823535474 5568.265185482001 5868.101089215921 5782.055740056418 6762.162323073247 6243.9882462923715 5731.450059884725 5730.449127453086 5634.279063870113 5678.82455378196 5802.101860020074 5721.590068752131 1563.3555264013598
mobilenetv1.tflite,29,16.029,5626.497756983941 5763.315643499782 5624.4421500636345 5589.542211425894 5679.188313704009 5625.773593592039 5916.479577558287 5726.63492364375 5930.389096854893 5857.834746483216 5824.984987262245 5819.850296500711 5765.807365462522 5796.265512656644 5744.225734615511 5836.503953296425 5831.201904099228 5923.986203264772 5856.8423698146025 5736.584073362335 6038.209712660695 5947.217270249538 5920.1276389174955 5776.969148783941 5885.7276201461755 5830.980018298073 5890.92950158599 5743.843066938977 5889.597334514629 5805.866235830076 5915.973974630627 5860.035348134953 5924.803566144773 5878.301928696837 5858.373332215247 5941.832953433131 5926.392929914832 5815.860751633044 5796.324175633898 5813.391636149476 5724.187195257587 5719.349309185224 5870.398654211213 5183.973038349716
