model,node,inference_time,power
mobilenetv1.tflite,0,277.397,1086.553760555156 83.0558946941725 130.95482716580455 493.64692086419353 1211.0368918139468 590.9723485453608 190.93753473670833 743.9041921188067 1083.993619851707 81.32009475942826 81.230863266218 763.8267631448382 1377.3964605769247 653.042957202543 1662.9311254376012 610.5203447840479 81.14139413635061 83.95596978072115 893.3152044015706 1211.5540878238144 110.84745625943805 80.69515368405965 806.563792295497 1273.6377614007013 86.46827928386197 230.94712676391117 1014.2080017710014 727.8550687808813 81.46662502982016 612.1095439371732 1627.7114399282627 711.034400071577 81.7540657148942 538.207244623077 1326.2391966711477 912.3402047988424 1946.210075414267 1157.4515680101756 866.9571352261139 373.04309596866744 920.2463554172909 1225.7476353833301 759.3966068504288 81.5758916664661 667.9863278376905 1446.3903505423602 499.89458436009176 81.50613788339682 743.2033485192783 1828.8971912702036 546.796428043845 80.73700392401736 707.195383376501 1689.5414559756466 344.52443326790706 80.79123026900156 453.00775416487335 1015.7949467263368 265.03542498598443 216.12021492250847 457.65033527339585 1095.7547036518072 1294.6978592095425 900.4323171342786 1588.0363809770463 1109.4111459840938 1208.411562172911 1487.7887249958785 905.5217050233983 434.0257258423062 478.7451451702555 1258.0840950215431 710.9572659602305 82.05996236001238 806.0734925277059 1206.4866301222548 370.74325046032345
mobilenetv1.tflite,1,68.4573,1714.0519141494808 1496.2980027510566 1493.3814707050751 1484.2131207595926 1316.2442977822368 1405.5339209609012 897.7367830138529 1294.840189776781 1396.9217888255057 1365.259238308141 1391.198946828213 1367.9223760224825 1465.3775421594355 1032.27283830907 1404.5138115681284 1718.4126810726507 1745.7026835187435 1805.482572443894 1168.6554679487112 676.5176112616952
mobilenetv1.tflite,2,198.216,1225.3275063151093 82.13679401208344 80.9599514417636 79.99728684098612 80.62028885898607 79.73570201940328 843.1293904526074 1619.4202912408027 1083.9929843213495 1523.487288307387 1676.6250309077448 2141.1864692344247 865.7500042567269 1280.891844702304 1480.0910035653346 544.2244034270173 1341.8188737485718 761.4758571551578 1249.1906335563124 1051.8739080338082 82.1704053402467 81.53429526842861 927.1498073132606 1701.0628981718028 1039.5026473581415 82.40606718295373 80.53924248334621 806.4762350704935 1463.5776390137662 344.86137881968017 925.2703571144148 1344.9478631066652 1574.0349651597076 876.7434042962296 82.99214365863232 81.41541519994868 759.3442112011767 1481.9899225353015 651.8813974312172 1294.7653858543697 867.7255476839943 1210.5233895542306 1422.7348220237932 839.789240757299 83.74444571688613 679.6358555081898 1731.2438148061956 648.2497705889351 1457.7843387720382 1440.3208725032653 1574.5263801520407 1614.1059490006778 655.7662971273401 1965.6575776479735 847.5494862667564
mobilenetv1.tflite,3,95.8715,1439.2257374495548 1494.296618218952 1248.0383296408036 1455.482662420093 1402.425902155461 1233.7771677955918 1505.4934227438544 1539.148728729179 1463.985028661757 436.05375337861176 884.9797581847712 1225.104492813271 105.41254721926273 768.1545025238241 1383.211319676441 927.2697990693073 2005.4794394023236 1288.943147264465 1816.2017816659768 1705.6512685876587 1872.1929026284188 1627.5237714760103 1887.2566216932528 1457.4392300387005 1308.3100058598238 1442.8058986875797 688.4448919967094
mobilenetv1.tflite,4,135.542,1817.4549058090442 843.3750549803568 1713.9213532336062 1597.3565875814004 2105.0668744636364 1905.0404599495628 1522.7574039831538 1017.6136543493743 82.56338235250311 328.4671148932388 1379.688104595294 1559.8658447406517 1344.1455595119403 1170.068976519872 81.98670210578634 750.7350519002176 1706.752269025147 698.0996618197491 1593.3511725446629 807.2494240766745 1027.8789844702446 1055.3691057023616 873.5727046047292 1566.6353139731327 1592.0808007890334 1936.6762898569289 1202.9466839700099 967.5863715963467 928.1272934709931 1324.2628368160892 1521.947721848957 1335.561134591162 1277.172520037191 1281.1794384374346 199.8961502205815 442.86774336426384 1340.6621145927593
mobilenetv1.tflite,5,79.8489,2019.770069767788 686.1692183318619 1781.6266968169855 1124.0066214017559 819.9941158602712 1418.9746025396933 1464.0070761258837 1586.2146997559244 1292.2626012417238 1813.2757332250603 1252.8741513678622 1429.0325602068287 1323.2650215025449 1330.33635577685 1387.013297291442 1307.7579783820943 1252.8460741510419 1462.9777646247585 1924.8361439664006 1778.0918111106132 2052.495558567362 1921.607752977375 370.77059405943953
mobilenetv1.tflite,6,146.782,966.7088908082414 83.14214020056231 81.45426404770761 965.2163988076402 1138.0726905312738 426.9522330046123 1635.9689947813015 750.8059800363488 602.7137530468473 2089.1200385619036 1468.5118809022592 1078.0455130175221 82.78965591539662 82.47257354491684 545.2581122251305 1352.5442034836374 1417.86547000442 1166.3630566165925 1934.3209403811284 1279.6609496483175 1410.2302732695746 1368.3247781345626 751.8237111881951 1437.1078416653074 1338.110072017089 527.6460865427007 902.1793855461351 1890.0068047689879 508.04647471922647 861.5738310383439 1516.2644728620753 1599.8279671034045 1792.8591724947357 2096.1109234706405 1797.4082318280857 800.751722383861 1077.4408971563369 1270.8017979279305 1509.9479935045704 1243.2746348334267 625.5559178974023
mobilenetv1.tflite,7,195.786,546.1629114478816 1496.1137483900338 380.75889327428246 82.4478158884444 80.5359254624793 1060.7089532503069 2201.7242811343544 1750.4546085163315 1237.2430248273495 1679.940400144621 1763.4206439710645 1958.0084672339005 1805.4812388934117 775.9026401678816 1329.1631631284968 1585.1293950986633 1549.2621538589553 1536.557457708738 1563.110298521338 871.2431257816253 82.77717709522403 755.6139247688714 1690.134649201279 500.34213387805715 775.1704326317123 1430.5938955496126 400.08332786605496 1230.87044935803 828.648252399465 1224.6128552582832 1617.0544089949778 1879.981622478927 1763.0148367796053 821.6769467169667 83.83051891304675 484.40708262887 814.5842913492821 1671.9363399018932 240.5867007025296 998.0604075841603 1528.006983233359 727.821216319015 1439.4228979628863 805.1880717029997 1589.0220187292316 859.3590145071304 83.69494353630392 212.69629298044325 797.3052165302449 1291.6424043890056 366.35231562560176 805.9020647823634 1045.433985337417
mobilenetv1.tflite,8,146.036,699.4723350320183 1114.862010748331 891.0441642284509 82.21089068984345 81.8610477748384 81.39826757895784 790.8221313051881 1431.7204971046065 473.17320537572715 1543.6289703647083 748.9090204922056 1445.6207939117878 1770.8565417405748 1959.2450440791615 1553.62245205964 1741.6349483652225 1415.6775816072688 1775.70263278492 755.2820065632974 1566.277880821228 1382.1724342112002 1783.4803085540238 358.10010043090426 797.3842028284337 1853.4619977518726 234.00350691717438 81.85404953400462 517.6022139280316 1820.4977911091737 690.4824419927203 1067.3225504256056 1900.8693656405487 787.508346067614 1493.242737576006 1734.7886616942728 689.4304869588261 1976.6267968684979 1860.0698010173164 1410.3198934257694 863.5322405401726
mobilenetv1.tflite,9,177.878,450.9808368033542 1234.477942836531 866.0705503383281 81.36566428070225 82.12563812494578 80.56834564402882 877.6224063706403 1221.5153876196969 1979.5728759096526 1987.292232886914 1906.699007328697 2396.693651644532 740.6290890768312 906.6653876269181 1630.032295530272 1673.17604395291 1674.294148902778 589.897648719834 1392.8232860061146 821.83612410071 1296.1454040315275 1049.6928153909837 956.6727444872531 1165.9364273890706 880.9589677186854 611.6792380322737 1980.8356705822766 1025.8955144726522 2173.7400777223093 827.5746747850153 505.9897437623038 1741.2671039018387 753.9747548008585 1436.6838930063584 1014.1298312790196 83.82593540857496 81.61288978873735 808.528551016475 1367.1150720133546 797.5996463719302 1491.2159386799722 716.3170267201123 1807.2605196718346 2016.808713645923 1514.20034858933 1161.0126336840872 675.7947884133764
