model,node,inference_time,power
mobilenetv1.tflite,0,231.175,1452.3279651424712 1481.2102877471398 796.6776541778295 735.1620171058689 1639.2470165028055 464.72621171255906 81.78930556500123 469.7874859834363 1139.6279823372133 714.4726900817981 82.18823254161975 235.798562293401 737.4462872412314 1409.3153627704698 1353.2119592544898 2093.2533906178037 1272.4888702582066 1572.605582619608 178.52649179226836 850.9734152140678 1689.86890868991 498.03719405531126 116.73567920941322 763.6923045692863 1162.2719819288247 261.6629540417121 118.88541425777136 466.33112658079955 965.4551600478329 879.0181341943694 81.14324964270656 765.4941998173956 1335.4490577769332 194.14645933549528 181.91498093176827 887.7575138664904 578.0848031815974 314.10261493499223 409.6647718446503 730.4635585645399 1546.6680971267826 123.58372145704911 494.6073169448277 1097.3264526627345 765.1972628622601 81.11420862718487 736.4820652310555 1450.3593671329302 256.5377544771945 81.31647573330338 606.8490768106305 1616.7643330843455 417.0484684728459 81.59573928354263 716.8465949246491 1692.3281448008884 315.5229837639584 80.50316553391472 550.5941786688091 983.5340482312774 1015.322867392221 1509.7927731993302 1641.9338145704373 1106.440437677303
mobilenetv1.tflite,1,204.742,865.0401799315241 914.5212311544772 1627.340066052615 2357.0164317776876 560.1361923427921 925.8804293106066 1847.3647292763437 393.35116195397524 1340.3244053394656 847.3768146946073 1011.5776618191527 1512.383584907607 1769.4627733643706 944.2251248039752 1435.6249033459426 1566.1153948741082 353.40691853694256 792.1666416136761 1285.4697311491984 188.7256490959759 751.5738975958193 1463.425815208927 413.73672658830196 908.5767495047864 1752.7520959815054 836.4326455902416 82.07142469564317 94.45630814469038 695.9438823465707 1647.1102076098236 281.390177542302 666.8984202653257 2247.8594803646206 951.1466274508957 101.9770232528424 83.22545897721852 380.5530881761849 1299.6619740002845 617.3556264306634 628.0684141471278 1672.1736776117266 709.5424854466036 1694.6776340682654 870.184467157048 82.96851397814177 80.96440697172444 340.551599663916 1366.3229132444133 840.221890053205 781.1407065712755 1512.182009955052 1369.4113717101104 1571.544293615664 1724.8365224984811 1083.3608892094119 829.4488802080792 496.5562118918641
mobilenetv1.tflite,2,123.347,1717.3937630411012 1225.7569171222733 818.6186533280503 1443.6390318395202 1799.0693872184847 1327.418795675946 1241.6424583555508 797.1254340768443 1500.5969588691796 1342.1090769489392 1804.5915491192525 1845.5732565182386 1862.7731634955592 1269.1642894871818 317.2777372153816 1022.2766906047395 1649.563838500986 713.8989990680653 1340.5007977279304 847.2304261895495 905.6613152108505 1177.8653149013203 83.61392228949305 296.0298084996462 773.7096838783871 1709.307530697709 752.3396754725394 1258.0058936752987 1345.4006284886566 1753.5274803087045 1253.3312007849624 1344.6647760336375 1170.1466870034917 1233.5183103495472 573.4376586914468
mobilenetv1.tflite,3,108.587,1329.098338440351 1386.3743476232814 1366.20094010269 1395.8899411233278 2062.0155890221577 1744.8829627725852 1952.2997180325851 1787.5472470446055 1757.399612482256 1441.631028069524 1385.4594707608594 86.03990569023277 896.8720873633858 1722.6007935697194 741.3758601034203 1938.3495937688338 899.3309084821972 82.81709852796845 646.1935109824466 1545.9591750482348 678.0064423353506 1288.0299914735497 742.8032410521582 1247.7256788346829 1742.0837700301613 1495.7076897935683 1451.9138516687863 1362.5577324264345 514.8514071551806
mobilenetv1.tflite,4,93.713,1824.4677807481085 1543.807436557307 1398.2140678193127 2367.485608427685 2672.1528067421464 1831.0803701742748 982.7083468593494 1006.7107720312159 1113.6260230630853 1515.472881229868 1289.1078491213875 1256.7375693392876 1310.9845952521657 977.9192498375585 1135.0194521788424 1153.5543387088471 1317.6668918108148 1106.7668362999157 1285.015097890755 1437.248789707384 140.6974695586199 1625.2665307714071 985.7770399789725 1424.1111287730196 1756.7988203721159 870.13321706832
mobilenetv1.tflite,5,122.546,2427.932590573203 1925.1473843436004 1760.9348334638983 1296.6479364105978 462.61572818328176 1421.8717466740452 1686.3807751339189 840.630403928994 83.71502805235868 477.0530500541362 1205.8367017877035 785.8122779220928 1271.3492215324961 1845.2067313408938 1235.1657886834303 708.7104456375175 1643.2889147789253 1712.7619297320132 1701.8110528736465 2047.9197968886485 1097.0346169498478 1420.6496330704663 1108.7332038483942 1308.1198282879361 1114.0900063072863 1374.8513294087745 499.60259243497313 1347.3013006515605 870.3228142202315 1282.636970873579 1821.573790901649 858.7719986591856 1147.812317723123 704.7459928669656 773.1479590321405
mobilenetv1.tflite,6,110.929,1703.1793082342272 1708.029170905269 1132.560567808148 586.9388534050721 798.7656794663338 1606.6951820908407 538.277198508078 1447.4687438933706 859.9120713053657 628.4055317249528 1851.2879830570596 1362.2819461706938 1280.294253206145 1356.81502555151 1691.1393839141938 1439.9400085652912 1602.4787739583142 1269.9637983477992 1211.203386105695 1183.516781821639 739.0346852852981 1183.9264771267196 1220.0473297918934 1156.8311561213586 1093.0523298873964 1290.5670271762747 1219.2372496171422 806.3036987068944 1665.8057028258602 1441.175711027295
mobilenetv1.tflite,7,119.272,1236.1017254975993 1251.3925674270727 1215.93726695362 2090.1028801284288 1949.464930009219 2399.820785581608 1876.499687107713 2134.070441493869 1221.524369726222 500.3150929413241 83.2141636457408 808.3558561904779 1392.004037518894 466.52626979397604 1360.9372551125323 705.4191915319064 1219.0977841261283 884.2094208547167 82.32267757925631 655.3478935777853 1725.21924275042 783.4928522286127 2110.6777021302837 949.0525046111712 82.91878315841558 765.9419010942819 1721.1573250826245 881.0324903505534 1981.7934962513596 1290.4195273682858 2056.886670982779 580.8375137938472
mobilenetv1.tflite,8,140.057,1449.2486397609441 1310.2201298381076 602.1577516241397 1061.675443828141 1814.580608771709 824.5732236868694 955.124382201496 1121.2302953169014 377.04471074755975 1432.453248655573 767.7095689401117 1590.5244255309692 1759.248621041075 1997.0604217118255 537.2238450668364 545.8511786478163 2099.2469016400405 1006.8562170124286 1492.5323524320067 1470.8401003321073 1973.799778328861 2118.749446818213 2053.643268362947 1582.6038103094443 1796.9340308310445 360.5114542082646 938.0151129118469 1578.211885029428 518.1520223739201 1129.7794884726386 997.6616802109526 82.83759987966918 82.58364959238313 904.8761248062293 2065.2472743454186 798.3425780353326 1448.8175526283987 976.8435012531932 755.684473874369
mobilenetv1.tflite,9,151.87,723.4862008942941 1641.1109181614956 1740.2929578490307 1172.8588082617623 1389.628804112308 1256.4805893204261 892.7229153649283 83.35723937292653 319.77145478238106 1368.2215603360705 798.6167568816585 865.2986891937586 2048.8059756192492 1301.7809062576825 1700.2162442027516 767.9185339180724 942.811412588252 1567.4873929136913 430.7288484572676 1366.822790423846 789.6100631653544 1592.8425902158483 991.2022679962787 84.32020439257731 226.99747832469558 826.1293066161813 1897.8260997463547 827.2068619797056 83.48188221273854 81.58121895434037 1115.1615978320588 1603.596109415097 692.6229656090346 1149.9956986598024 2079.6448074646687 2002.576321297913 1031.7178966520266 1534.6845921277404 978.8964062248695 1658.7960977992152 1396.0024780235867 361.76384030571387
mobilenetv1.tflite,10,87.2199,1584.9328297550935 1054.3732876146569 848.228910446067 1880.1037977741526 1896.8031921405284 1078.4399114752505 2006.3044517696844 2075.8390576364613 1920.283858887778 2148.4564453393473 2012.6697017412996 996.764479939048 229.04113584152924 1124.604257785531 1788.6397872879684 776.3459421468299 1460.1781611932145 2173.8610701473276 1869.6203331841161 1159.0934982406486 1420.8030527830813 2137.654752784174 1328.4790590558187 1637.9768612064559 327.7007335290161
mobilenetv1.tflite,11,131.732,367.0412186289522 817.3352911815998 1104.850426650348 83.8915960445324 83.28791867952403 889.9313268073868 1791.246708616975 1470.254678013511 651.2689783904382 2028.6018774906145 700.4871277905202 1942.1827404125427 1089.7696860598517 84.45505752164581 222.60956322897167 1196.1140637849694 1227.8609916103444 1950.8334942936895 2237.1262846128025 2363.908144365855 1211.476548277977 2073.2947158060892 429.566699781744 1492.5925909849982 2085.109197266946 1031.750915519739 2184.328333570624 1667.710708734444 1409.4175659512712 1428.1278220594168 780.1457026734105 1488.3412013400653 1615.215849681867 1630.7628099308577 1314.698990617009 684.1127230950017
mobilenetv1.tflite,12,145.568,2189.156972869851 774.1882013650404 1721.222732792616 1506.6467252951686 473.5405128693024 1606.387898622754 1805.4695291824912 790.1451449609478 937.0238254721845 1923.0095066657127 631.7691116240553 963.3803433741384 1763.4535398538426 393.50524557959824 1594.747189165114 738.6302678846228 1987.6988885263145 980.001309303772 1514.4978918195793 1673.3671342712223 493.06272595629963 1540.7965091815097 764.3950616818065 1581.9793441010574 912.2558318384698 83.3303435822092 308.85849878518303 1209.07211586485 810.6865806029441 741.3364051042594 1715.1563084012967 1616.595381673311 1923.1859163844836 1582.818333929324 782.7885976461693 2224.561920927064 1809.4738756133543 421.6389663058894 999.1132739769884
