model,node,cpu_freq,gpu_freq,inference_time,power
mobilenetv1.tflite,0,2419200,840000000,6.19318,6550.147687366155 6388.830277640986 6495.040124685618 6503.2512501267865 6495.048224533564 6646.983900951666 6533.59484840284 6539.632564633305 6891.791692916539 6581.43470127107 6665.901355677679 7001.378444998648 6602.512844359169 6639.52638397366 6662.831278146265 6648.249026936196 6657.931521600194 2078.7136105669492
mobilenetv1.tflite,1,2419200,840000000,7.49562,6424.637231725678 6453.4626774663575 6387.243884292226 6299.749646012911 6325.572257234859 6426.625219819606 6353.846264759616 6384.2826027610845 6509.614495326787 6505.067685265209 6367.713115667656 6383.893045098826 6440.8049460776865 6622.478678417729 6604.816303713446 6609.656196978297 6617.757527782841 6702.739358158254 6729.248115056998 6610.098494646033 2509.8829502577405
mobilenetv1.tflite,2,2419200,840000000,8.76203,6042.927891117213 6081.730174635555 6127.815555908174 6195.91807202545 6186.748265779848 6127.317004930881 6149.075923214244 6218.251349255966 6223.5599192130585 6148.737196625107 6232.244252324798 6229.911834720379 6129.6228801088455 6133.03943523539 6311.5194942035505 6228.553497019725 6191.3442622731545 6930.904382580294 6257.216868602673 6173.022646646883 6309.208692389515 6265.276801220057 6230.482464110135 6247.154001825022 1319.2648933053229
mobilenetv1.tflite,3,2419200,840000000,10.2624,5697.375689661732 5682.253371303955 5933.214779220553 5862.490831624122 5892.5011363864305 5684.675931314866 5698.884550869301 5826.0874308704615 5936.518250987131 6161.480358605907 5995.9520775845485 5984.8756360909165 6069.797811496721 6006.207472041483 6360.866566998932 6159.485573367541 5942.976350408356 6006.071993689721 5817.710761423105 5851.550023756074 5834.724731777576 7389.473588590869 5849.734158553423 5721.099737404066 5794.8801050776265 5827.338776890679 5805.626969170718 5758.5399730768495 2118.614861176649
mobilenetv1.tflite,4,2419200,840000000,10.6518,5520.2392567483785 5740.660943737989 5866.43746839353 5811.953979683538 5687.602359643831 5761.9259704032365 5718.382349475456 5792.544195370921 5774.97354833443 5807.24741346254 5812.128905757112 5890.0022668961365 5697.25696699699 5768.691599667353 5897.1714304746865 5867.289155259459 5854.280720786444 5867.130195404262 5869.946752104864 5868.137346462373 5812.773017911237 5687.116050802757 5850.037403984697 6532.370710908175 5850.600237343373 5908.278456382209 5837.332297216308 5903.395491180238 5819.812543089495 1387.1835863531803
mobilenetv1.tflite,5,2419200,840000000,12.1664,5545.6251100819945 5479.495590519173 5448.5841281921485 5513.028817786055 5558.031276785297 5497.36700434735 5518.345366096304 5693.076904752881 5572.418164734183 5523.748128553529 5605.474686781131 5552.668070549175 5562.290041006682 5664.14199942594 5633.526575368997 5652.889363099675 5608.05116809301 6640.430387011221 5683.895056046884 5710.172862430397 5548.103099213692 5700.214144852353 5573.521623977173 5640.519440859657 5559.300655470558 6091.9012027584085 6066.554593522896 5600.99088145208 5643.988707721052 6157.552794881329 5614.489849611867 5696.052299659227 5878.52490063297 3322.7693587207123
mobilenetv1.tflite,6,2419200,840000000,12.1661,5813.15221335245 5322.445046589184 5755.681050923708 5413.626436634893 5367.793836408327 5839.921698133317 5403.391593969372 5540.497030256047 5374.553095822336 5790.213446187053 5754.476660393292 5614.30496006089 5431.281592451225 5453.700325948552 5745.069776125608 5738.292600502362 5294.63247142361 5327.44274823295 5542.685296185061 5451.269330882038 5790.053167262626 5495.199695729695 6321.071361764377 5927.242213931653 5402.144241772905 5565.178886066732 9806.665554240435 8443.346589719305 7695.774154388856 6814.237775125476 6920.062817237404 6767.275747277022 5489.11721782728 4406.350051679583
mobilenetv1.tflite,7,2419200,840000000,12.3481,6015.0841425303015 6085.658322477752 6056.585847907364 6135.321389186543 6648.627020815144 6645.885092940144 6009.0933607477145 5757.635598630454 5806.528222052337 6338.990021758791 5968.7519990868495 5877.712454921369 5796.912948711137 5818.726760313352 5913.664898425838 5809.993240192781 5864.06340299189 5797.272858196033 5832.332574041966 6101.227482359832 5855.048147891388 5792.88497075235 5805.632582243142 5934.460659996071 5801.102079419348 5860.442808188913 5789.76554887727 5929.316831270162 5932.390321190745 5849.028794257768 6084.304058744705 5915.98145425478 5901.171113387575 5913.184601048934 1990.3487200663712
mobilenetv1.tflite,8,2419200,840000000,12.6493,5701.3325723706785 5702.973013954516 5716.532125749201 5676.792700722287 5812.851134251591 5729.748365625605 5941.547645377028 5894.316541108717 5800.193580844803 5797.440234718277 5745.996307924831 5851.413727852336 5818.332908391223 5808.924697407618 5820.530975331941 5854.504532157551 6249.544120531739 6068.489275072416 5830.826614865462 5859.676068602875 5946.374871236366 5897.289364352457 5860.802081843373 5891.416024028861 5854.248040495315 5870.43417222839 5974.4820076083115 5826.057104657226 6012.237627515015 6017.899062013712 5916.589410228244 5896.870876167841 5888.02215429295 5879.566875713215 6136.66426010583
mobilenetv1.tflite,9,2419200,840000000,14.0528,5439.413224585371 5474.928535471546 5498.575190579104 5578.89380454965 5544.110368619269 5520.544185043829 5557.856904112926 5451.801230593261 5542.872381473225 5621.582384468413 5519.887188664337 5548.991129450574 5981.0293302666005 5590.446692161234 5565.884544812708 5588.21253193149 5565.964643450072 5808.840282556225 5586.448149174612 5660.493619070883 5628.804747814341 5593.074166950287 5647.189681273833 5472.528610137703 5631.560072175969 5650.790856974804 5480.59231321937 5572.1733781879475 5535.670515819722 5687.691453862575 5606.462249461687 5630.846050690766 5609.805881080556 5657.7107024954885 6119.748620763017 5835.967533133964 5646.947485737353 5623.6757429190575 5718.792106439607
