model,node,cpu_freq,gpu_freq,inference_time,power
mobilenetv1.tflite,0,710400,315000000,9.29751,3571.5413294664813 3307.332503547809 3768.9917800959192 3461.706967857427 3353.811571180511 3318.9728562462847 3397.7174635278825 3380.2567174141836 3365.347149724137 3542.54243186334 3378.7052451670274 3349.7230647871042 3497.622428193727 3398.3655395467704 3557.2074856324843 3529.0544458567674 3364.032538910751 3399.275543397643 3513.407938713014 3373.399594296302 3377.3461543903004 3561.5720224525353 3377.306124056832 3371.9241809762066 3434.4491839201974 3202.5727818737296
mobilenetv1.tflite,1,710400,315000000,12.6349,2903.166103870988 2993.0169837452336 2995.075520749826 2903.478926355716 3044.858769645597 3378.5811124419793 2896.011283151403 2903.3520544703674 2921.1855405803713 2824.1504061621654 3053.2053078008626 2679.369667407665 2959.928291291901 2900.8944694163933 2905.005078391597 2969.3198989546067 3029.742047451481 2991.655407032568 2922.048835733028 2902.5150491620698 2917.604551740749 2918.904939337142 2830.8835302306393 2938.702661101922 2927.682770552025 2959.059775898496 2923.0655136124906 2968.0985466350126 2939.4043609044907 2969.8241578165057 2912.4371154387873 2863.2212072294847 2942.0087349993046 2948.5573942638657 2927.646010809809 1955.053410196066
mobilenetv1.tflite,2,710400,315000000,16.2279,2650.249449338004 2636.451966536768 2615.411230199697 2446.0764394020252 2539.070115060697 2458.8999691099616 2501.162797229903 2618.7727795399637 2563.386626594133 2526.098593500697 2600.161597857061 2615.277255673729 2655.878621865907 2496.864198307993 2596.6908365788922 2570.9148752414817 2602.714338562505 2641.5038964764735 2643.1159572313063 2783.706930294862 2642.906511369726 2625.0272662566795 2730.541199156249 2651.319542784573 2708.18634601814 2642.245649911981 2623.606426545181 2635.1797871778735 2679.635679384931 2637.291887587816 2648.423836419978 2617.6782099838933 2622.004849080517 2608.440096970037 2638.4445512928664 2652.2107629774914 2638.2593676435395 2753.2595995810434 2677.0318007627784 2717.4832861553728 2849.5949045512466 3186.3299971665183 2618.5196997786124 2684.268187059582 2612.5789922456493
mobilenetv1.tflite,3,710400,315000000,18.7507,2595.4579202963505 2561.9871411386694 2618.0813053308984 2739.3335877175427 2631.8645528487796 2612.524295989661 2599.029240833397 2684.2021251865017 2891.053650119793 2590.3518818422435 2563.0582171646683 2599.6768373908944 2600.273255379984 2583.6905649759547 2618.895247134948 2579.22212016642 2660.0294565952863 2598.640551919174 2582.6103069535848 2665.4693008034396 2803.7181255992223 2596.049917570587 2684.947578408735 2714.212389523144 3009.112679467277 2613.1132752413237 2598.372767154715 2612.998422653767 2604.2408056370996 2549.088299791962 2636.601732121864 2655.553077211765 2789.5058801930213 2725.129045667355 2569.5638951874066 2652.6491253217077 2614.2030033344636 2599.784609967309 2566.0337347973496 2562.649896715462 2565.1309699975354 2622.9027431368613 2579.264413214214 2561.3646402370987 2556.117686255278 2619.5360666270294 2607.206039996731 2642.3698722552826 2602.4209657784786 2613.797022892608 2584.488686076977 1709.2122770823023
mobilenetv1.tflite,4,710400,315000000,19.02,2472.1840917001327 2885.9541586188725 2510.289198529576 2547.466585871498 2545.361975411268 2524.5495748634007 2526.9877890567113 2584.9883270281775 2537.7051511706227 2521.0918000184097 2512.95018072018 2469.987351027114 2493.206461166871 2487.117380412267 2497.6355269287983 2552.539657301259 2496.597075014441 2516.2797055470246 2546.2461521698174 2477.5704663581537 2524.1767797634293 2462.662190767717 2521.3961469511546 2824.813547974066 2530.56105042058 2496.744226302775 3388.8349622026735 3448.3215188676704 3676.2274928830193 2740.2530213745295 2459.7338709491637 2656.3107570381508 2682.8721358299167 2573.7647926855498 2489.248990061454 2492.034318050392 2464.9896125115138 2589.854914151932 2512.283115285086 2529.36727798857 2544.784898271395 2441.9688533556787 2401.675875749292 2884.7071419771905 2511.530643087613 2401.805998309818 2360.6668742471225 2467.641873533779 2399.973748626528 2458.916216136026 2421.3991548178105 2617.7482115224543
mobilenetv1.tflite,5,710400,315000000,22.3668,2419.3387536704745 2372.126856109778 2302.9792951797967 2342.7835943724467 2259.3162483597334 2262.6593602277003 2356.8567586222284 2660.026010646185 2334.568714392222 2290.577789369675 2313.83876949298 2282.8255977022864 2289.7898842345485 2248.1527046166716 2366.645097598254 2315.4139645608348 2262.029356321706 2392.5359044786774 2389.2473607322113 2577.9414812225896 2632.61777136333 2358.271987360404 2251.292415709743 2294.898296415917 2608.3910107956985 2324.7848301750687 2314.7635175502564 2290.4914443050043 2285.9775642468403 2467.091525248512 2432.088960479272 2468.724496436174 2421.76153304796 2447.23176032342 2458.7673151367044 2422.384662915133 2445.829387331045 2401.444993946837 2402.2344034216844 2416.746649725158 2425.618128701294 2413.3732378638288 2319.9677554712416 2348.5687719714047 2346.741451875017 2332.018296343994 2266.4768959099038 2258.047472168718 2347.243990471758 2490.2012852071857 2294.666597678696 2320.6841494590967 2288.0667219468774 2332.744367339345 2316.7672759851403 2337.9922857277725 2303.7216333523124 2327.131224954217 2410.5102035315253 2332.241784264157 2337.0942986630034 1252.148597305531
mobilenetv1.tflite,6,710400,315000000,24.2671,2313.5064414865396 2177.931891948239 2321.997900101926 2251.9935332837476 2205.6175878230565 2272.492584857928 2257.364366643152 2371.2528303662434 2276.0314533936953 2191.4613416379534 2342.37499710338 2299.3145442928726 2332.120594951053 2222.798072880447 2181.515836019755 2242.5324782608095 2320.815202515736 2274.8347960284764 2246.3686457605236 2278.950414262444 2285.289033834212 2267.0750301758794 2297.130387658989 2192.9327016481043 2353.0388224354656 2322.8885416352073 2264.706714574063 2209.0171144137903 2263.1968909334673 2694.989199968574 2242.682383379741 2179.983724892732 2206.7839838475497 2194.3672332806873 2328.9920286428833 2292.5484351481837 2466.5416676628793 2249.271327268201 2292.1791222537317 2216.514020209912 3049.7947578041876 3531.238189113124 2936.0604821123734 4119.836734236802 3809.5005019454943 2824.1613575668653 2335.276833074735 2322.921301102244 2338.821996681331 2382.4924002805706 2316.384482450617 2381.8831532873355 2496.0686701224813 2351.371878039295 2447.2860023194885 2324.2023623648784 2167.636523574741 2229.828244565384 2236.5381717412456 2235.734690258865 2257.3454987646546 2217.361900179272 2239.6604619219916 2381.006164604409 2188.5777678126724 2306.863498341028 2000.1348226876817
mobilenetv1.tflite,7,710400,315000000,28.8802,2243.449127164965 2167.6111028740042 2141.775392213109 2190.3759487825887 2156.106709168917 2195.2399827300414 2136.596652977448 2165.0701461364233 2105.874853987665 1908.357318481045 2214.9797603207635 2223.60235767417 2206.164379649839 2233.672628064422 2228.246300570635 2192.38234634674 2263.360500438734 2196.6030978227313 2174.066570741676 2100.1762351917164 2132.173113003435 2255.1861383772293 2179.296140222807 2245.864542671516 2172.5999439561288 2044.9685693790518 2149.097734877468 2219.2724196075847 2183.802569265541 2148.205658357637 2213.472908423252 2243.4031138080704 2415.1109605153943 2591.6691095610595 2426.7083031556517 2193.0602484174356 2181.682565582023 2190.3616085289987 2134.5865789856925 2222.93854527478 2243.503458518786 1994.2268619859256 2096.3298822944257 2195.7556843758302 2275.902825857053 2688.257854720263 2626.272079032233 2728.144423460721 2383.1587279922237 2273.537104141013 2271.6051851961406 2260.8160452760203 2274.8641467375223 2318.798501851771 2275.23530540421 2278.3600713584797 2288.990454253276 2370.079323274368 2174.3325781116364 2278.206786252326 2187.0039089445286 2204.596148100811 2216.947900573366 2343.1917789930744 2160.040114068134 2149.3673658284442 2183.4876205166606 2191.3768316505643 2148.3601343555124 2184.8114151511436 2183.4064504889184 2104.990302582076 2123.960289262661 2146.228810143561 2168.271729973046 2219.8418667678984 2582.758487226372 2161.297339557537 2205.7706315310074
mobilenetv1.tflite,8,710400,315000000,30.134,2072.8296689832255 2062.619580261106 2069.8438680223294 2197.112180076812 2086.364110394257 2186.512730007496 2169.403425745832 2105.003338526296 2158.9959481457986 2172.2058744209835 2199.2153367343226 2175.417962536839 2222.9074395027947 2208.2284620677883 2201.2515646130855 2254.915790794703 2217.8434238862496 2212.891358727018 2224.599690398938 2187.0280209663497 2205.1910815756346 2222.3165242628206 2070.1120163402584 2217.2641567686014 2210.894700902743 2608.870752070034 2279.2632832943113 2127.9477222367796 2213.662352619577 2263.7464856477295 2225.317074623589 2270.1390102822475 2164.9928209487107 2592.9416897338415 2267.417949077368 2247.8122212255867 2240.2687544423843 2201.0593180011997 2287.1789198249226 2208.179316725639 2224.996823239267 2143.6175078119904 2274.2092911514856 2214.1508337172045 2218.561248082044 2145.613313075335 2176.35068440066 2094.047416512451 2136.494341100971 2123.421579645999 2251.8355550600963 2116.044500443167 2156.104246332893 2199.0535050674202 2159.067043876155 2190.2727046100185 2194.702524528349 2186.8482159478485 2241.08823165992 2251.9369736795484 2184.8412972646233 2218.9460455311546 2183.063842130576 2236.8448524584705 2239.287682252093 2217.3017209417335 2285.61629365743 2476.7934720927565 2650.0147649953697 2256.7156070034557 2193.499867245786 2235.587526223609 2267.26710045751 2230.1629888461025 2178.033211145866 2133.051693193652 2071.0992021818092 2202.291077517228 2314.4117273936363 2239.590851321344 2238.328404093652 2218.9113750954903 2252.8063376854648
mobilenetv1.tflite,9,710400,315000000,33.903,2101.072286889649 2472.67528906396 2587.5583090823357 2106.570277834636 2140.398512086871 2122.4620519145706 2188.2086878261916 2414.4087636661625 2089.9288079012 2095.574077207051 2045.7689223092282 2148.764797636087 2046.7759062225603 2465.605823768962 2451.650323738989 2175.7008957883877 2073.5829088570326 2117.0463525938717 2112.2287856656244 1972.589270946842 2088.6488178274526 2025.1080392296612 2080.745052167719 2120.9437996101897 2168.2733623656177 2091.2734116970837 2106.9724168669145 2094.895962417811 2137.457604730836 2131.702164624584 2150.9756105482466 2135.3868544484963 2150.7124843419338 2152.004779196187 2123.494661139892 2204.360408600383 2109.272510887535 2073.9944278945754 2130.6046028630603 2060.004942380524 2123.7306449532775 2095.47574362296 2110.957280138514 2016.7501920676066 1995.9924572154353 2002.6237968253176 2091.305485977227 2066.837763282622 2125.743315425774 2043.0885134277246 2124.4658626563737 2144.7598193656154 2153.208510271772 2163.578954524638 2120.822588421589 2148.790414849538 2527.2485406520864 2255.9335872402107 2150.083864508634 2147.846174943293 2089.6155036291107 2130.9831069144234 2140.9326915349957 2120.7287998503825 2137.6425666637238 2155.384579259954 2148.6239791086527 2315.239447879152 2132.0123878598056 2141.7231486106193 2098.3768792069204 2147.3017544351683 2210.8728589518914 2109.26583300927 2161.0306894071555 2207.5569440033237 2151.9262170376087 2131.1907459281674 2143.11893715715 2129.0451961790045 2151.5491889097775 2130.1045174346536 2087.9826332025837 2134.663315473008 2161.5840968517336 2159.0404673967896 2217.9765359355843 2159.150785315251 2161.0732247112983 2105.410043638488 2148.9215559511313 2187.534907449564 2061.408571008481 2200.3395328042043
